ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 14
 path_based renewable label = 14


 (east, west, south, north, front, back, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), front, back, from host(vch2)0,.. to host(vch2)0,..
 Node  0:   0 0 2 0 2 0 0 0 0 1 0 3 0 3 1 1
 Node  1:   0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0
 Node  2:   0 0 2 0 2 0 0 0 0 0 0 2 0 4 1 1
 Node  3:   0 0 2 0 2 0 1 1 0 1 0 2 0 3 0 0
 Node  4:   1 0 1 0 2 0 0 0 0 0 0 0 0 3 1 1
 Node  5:   1 0 2 0 2 0 1 1 0 0 0 2 0 3 0 0
 Node  6:   2 0 1 0 4 0 0 0 0 0 0 3 0 8 1 1
 Node  7:   3 0 2 0 2 0 1 1 0 0 0 2 0 4 0 0
 Node  8:   2 1 2 0 2 0 0 0 0 0 0 0 0 3 1 1
 Node  9:   1 0 2 0 4 0 1 1 0 0 0 2 0 8 0 0
 Node 10:   1 1 2 0 2 0 0 0 0 0 0 2 0 3 1 1
 Node 11:   0 1 2 0 2 0 1 1 0 0 0 3 0 4 0 0
 Node 12:   0 1 2 0 2 0 0 0 1 0 0 1 0 3 1 1
 Node 13:   0 1 2 0 2 0 1 1 1 0 0 3 0 3 0 0
 Node 14:   0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 1
 Node 15:   0 1 2 0 2 0 1 1 1 0 0 2 0 3 0 0
 Node 16:   1 0 2 0 0 0 0 0 0 2 0 2 0 0 1 1
 Node 17:   1 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0
 Node 18:   1 0 2 0 0 0 0 0 0 1 0 1 0 0 1 1
 Node 19:   0 0 2 0 0 0 1 1 0 1 0 2 0 0 0 0
 Node 20:   1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1
 Node 21:   2 0 2 0 0 0 1 1 0 0 0 1 0 0 0 0
 Node 22:   2 0 1 0 0 0 0 0 0 0 0 2 0 1 1 1
 Node 23:   2 1 2 0 0 0 1 1 0 0 0 1 0 1 0 0
 Node 24:   2 2 2 0 0 0 0 0 0 0 0 0 0 0 1 1
