ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 15
 path_based renewable label = 15
 slot_max = 15


 (east, west, south, north, front, back, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), front, back, from host(vch2)0,.. to host(vch2)0,..
 Node  0:   0 0 3 0 3 0 0 0 0 1 0 1 0 0 1 1
 Node  1:   0 0 0 0 6 0 0 0 0 0 0 1 0 0 1 1
 Node  2:   0 0 1 0 3 0 0 0 0 0 0 0 0 0 1 1
 Node  3:   0 0 1 0 6 0 0 0 0 0 0 3 0 1 1 1
 Node  4:   0 0 5 0 2 0 0 0 0 0 0 4 0 0 1 1
 Node  5:   0 0 0 0 5 0 0 0 0 0 0 2 0 0 1 1
 Node  6:   0 0 1 0 2 0 0 0 0 0 0 0 0 0 1 1
 Node  7:   1 0 1 0 5 0 0 0 0 0 0 4 0 1 1 1
 Node  8:   1 0 6 0 2 0 0 0 0 0 0 4 0 0 1 1
 Node  9:   1 0 0 0 4 0 0 0 0 0 0 2 0 0 1 1
 Node 10:   1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1
 Node 11:   1 0 3 0 4 0 0 0 0 0 0 4 0 1 1 1
 Node 12:   1 0 12 0 2 0 0 0 0 0 0 4 0 0 1 1
 Node 13:   1 0 0 0 3 0 0 0 0 0 0 2 0 0 1 1
 Node 14:   1 0 1 0 1 0 0 0 0 0 0 4 0 0 1 1
 Node 15:   0 0 2 0 3 0 0 0 0 0 0 5 0 2 1 1
 Node 16:   0 0 2 0 0 0 0 0 0 2 0 1 0 0 1 1
 Node 17:   0 0 0 0 2 0 0 0 0 1 0 0 0 0 1 1
 Node 18:   0 0 2 0 2 0 0 0 0 0 0 0 0 0 1 1
 Node 19:   0 0 2 0 2 0 0 0 0 0 0 3 0 0 1 1
 Node 20:   0 0 4 0 0 0 0 0 0 0 0 3 0 0 1 1
 Node 21:   0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1
 Node 22:   0 0 2 0 1 0 0 0 0 0 0 0 0 0 1 1
 Node 23:   1 0 1 0 1 0 0 0 0 0 0 4 0 0 1 1
 Node 24:   1 0 5 0 0 0 0 0 0 0 0 3 0 0 1 1
 Node 25:   1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1
 Node 26:   1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1
 Node 27:   1 0 4 0 0 0 0 0 0 0 0 4 0 6 1 1
 Node 28:   2 0 12 0 0 0 0 0 0 0 0 3 0 0 1 1
 Node 29:   2 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1
 Node 30:   2 0 2 1 0 0 0 0 0 0 0 4 0 0 1 1
 Node 31:   0 0 3 0 1 0 0 0 0 0 0 4 0 2 1 1
 Node 32:   1 0 2 0 0 0 0 0 0 2 0 1 0 0 1 1
 Node 33:   1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1
 Node 34:   1 0 2 1 1 0 0 0 0 0 0 0 0 0 1 1
 Node 35:   0 0 2 0 4 0 0 0 0 0 0 3 0 0 1 1
 Node 36:   0 0 3 0 1 0 0 0 0 0 0 2 0 1 1 1
 Node 37:   0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1
 Node 38:   0 0 2 1 1 0 0 0 0 0 0 0 0 1 1 1
 Node 39:   0 0 2 0 4 0 0 0 0 0 0 4 0 1 1 1
 Node 40:   0 0 4 0 1 0 0 0 0 0 0 2 0 2 1 1
 Node 41:   0 0 0 0 1 0 0 0 0 0 0 0 0 2 1 1
 Node 42:   0 0 2 1 1 0 0 0 0 0 0 0 0 2 1 1
 Node 43:   0 0 4 0 3 0 0 0 0 0 0 4 0 2 1 1
 Node 44:   0 0 11 0 0 0 0 0 0 0 0 3 0 3 1 1
 Node 45:   0 0 0 0 1 0 0 0 0 0 0 0 0 3 1 1
 Node 46:   0 0 2 1 1 0 0 0 0 0 0 4 0 3 1 1
 Node 47:   0 0 4 0 2 0 0 0 1 0 0 3 0 3 1 1
 Node 48:   0 0 1 0 0 0 0 0 0 5 0 1 0 4 1 1
 Node 49:   0 0 0 0 0 0 0 0 0 4 0 0 0 4 1 1
 Node 50:   0 0 3 1 0 0 0 0 0 3 0 0 0 4 1 1
 Node 51:   0 0 4 0 12 0 0 0 0 3 0 3 0 6 1 1
 Node 52:   0 0 2 0 0 0 0 0 0 0 0 2 0 5 1 1
 Node 53:   0 0 1 0 0 0 0 0 0 0 0 0 0 5 1 1
 Node 54:   0 0 3 2 0 0 0 0 0 0 0 0 0 5 1 1
 Node 55:   4 0 8 0 11 0 0 0 0 0 0 4 0 5 1 1
 Node 56:   4 0 3 0 0 0 0 0 0 0 0 2 0 6 1 1
 Node 57:   4 0 1 0 0 0 0 0 0 0 0 0 0 5 1 1
 Node 58:   5 0 2 2 0 0 0 0 0 0 0 0 0 6 1 1
 Node 59:   9 0 8 0 10 0 0 0 0 0 0 4 0 9 1 1
 Node 60:   7 0 2 0 4 0 0 0 0 0 0 2 0 7 1 1
 Node 61:   5 1 0 0 3 0 0 0 0 0 0 0 0 5 1 1
 Node 62:   3 5 3 2 5 0 0 0 0 0 0 4 0 4 1 1
 Node 63:   0 7 7 0 9 0 1 1 1 0 0 3 0 2 0 0
 Node 64:   0 0 1 0 3 0 1 1 0 3 0 0 0 0 0 0
 Node 65:   0 0 0 1 2 0 1 1 0 2 0 0 0 0 0 0
 Node 66:   0 0 3 2 4 0 1 1 0 1 0 0 0 1 0 0
 Node 67:   0 0 4 3 3 0 1 1 0 0 0 0 0 0 0 0
 Node 68:   0 0 2 0 1 0 1 1 0 0 0 1 0 1 0 0
 Node 69:   0 0 2 1 1 0 1 1 0 0 0 0 0 0 0 0
 Node 70:   1 0 3 3 2 0 1 1 0 0 0 0 0 1 0 0
 Node 71:   2 0 7 3 1 0 1 1 0 0 0 0 0 0 0 0
 Node 72:   3 0 2 0 1 0 1 1 0 0 0 1 0 0 0 0
 Node 73:   3 0 2 1 0 0 1 1 0 0 0 0 0 0 0 0
 Node 74:   3 0 3 3 1 0 1 1 0 0 0 0 0 1 0 0
