ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 48
 path_based renewable label = 48
 slot_max = 48


 (east, west, south, north, front, back, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), front, back, from host(vch2)0,.. to host(vch2)0,..
 Node  0:   0 0 1 0 1 0 0 0 0 1 0 2 0 1 1 1
 Node  1:   0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0
 Node  2:   0 0 1 0 1 0 1 1 0 0 0 0 0 3 0 0
 Node  3:   0 0 1 0 3 0 1 1 0 0 0 1 0 2 0 0
 Node  4:   0 0 1 0 2 0 1 1 0 0 0 1 0 5 0 0
 Node  5:   0 0 1 0 1 0 1 1 0 0 0 1 0 2 0 0
 Node  6:   0 0 1 0 1 0 1 1 0 0 0 1 0 1 0 0
 Node  7:   0 0 1 0 5 0 1 1 0 0 0 1 0 3 0 0
 Node  8:   0 0 1 0 2 0 1 1 0 0 0 1 0 3 0 0
 Node  9:   0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0
 Node 10:   0 0 1 0 1 0 1 1 1 0 0 0 0 2 0 0
 Node 11:   0 0 1 0 4 0 1 1 1 0 0 1 0 2 0 0
 Node 12:   0 0 1 0 2 0 1 1 1 0 0 1 0 4 0 0
 Node 13:   0 0 1 0 2 0 1 1 1 0 0 1 0 1 0 0
 Node 14:   0 0 1 0 1 0 1 1 1 0 0 1 0 0 0 0
 Node 15:   0 0 1 0 6 0 1 1 1 0 0 2 0 3 0 0
 Node 16:   0 0 2 0 3 0 1 1 0 0 0 2 0 3 0 0
 Node 17:   0 3 0 0 0 0 1 1 0 0 0 0 0 0 0 0
 Node 18:   0 2 2 0 0 0 1 1 0 0 0 0 0 2 0 0
 Node 19:   0 2 2 0 3 0 1 1 0 0 0 1 0 0 0 0
 Node 20:   0 1 2 0 0 0 1 1 0 0 0 1 0 1 0 0
 Node 21:   0 0 2 0 1 0 1 1 0 0 0 1 0 1 0 0
 Node 22:   0 0 2 0 1 0 1 1 0 0 0 1 0 1 0 0
 Node 23:   0 0 2 0 5 0 1 1 0 0 0 1 0 1 0 0
 Node 24:   0 0 2 0 1 0 1 1 0 0 0 1 0 5 0 0
 Node 25:   0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0
 Node 26:   0 0 2 0 0 0 1 1 1 0 0 0 0 2 0 0
 Node 27:   0 0 2 0 4 0 1 1 2 0 0 1 0 0 0 0
 Node 28:   0 0 2 0 1 0 1 1 2 0 0 1 0 2 0 0
 Node 29:   0 0 2 0 2 0 1 1 2 0 0 1 0 1 0 0
 Node 30:   0 0 2 0 1 0 1 1 2 0 0 1 0 0 0 0
 Node 31:   0 0 2 0 6 0 1 1 2 0 0 1 0 1 0 0
 Node 32:   0 0 3 2 2 0 1 1 0 0 0 2 0 2 0 0
 Node 33:   0 2 0 0 1 0 1 1 0 0 0 0 0 0 0 0
 Node 34:   0 1 2 0 1 0 1 1 0 0 0 0 0 4 0 0
 Node 35:   0 0 3 1 3 0 1 1 0 0 0 1 0 1 0 0
 Node 36:   0 0 4 1 1 0 1 1 0 0 0 1 0 10 0 0
 Node 37:   0 0 3 1 1 0 1 1 0 0 0 1 0 1 0 0
 Node 38:   0 0 3 1 1 0 1 1 0 0 0 1 0 1 0 0
 Node 39:   0 0 3 1 5 0 1 1 0 0 0 1 0 1 0 0
 Node 40:   0 0 4 1 1 0 1 1 0 0 0 1 0 7 0 0
 Node 41:   0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0
 Node 42:   0 0 3 0 1 0 1 1 1 0 0 0 0 3 0 0
 Node 43:   0 0 2 1 4 0 1 1 2 0 0 1 0 1 0 0
 Node 44:   0 0 3 1 1 0 1 1 2 0 0 1 0 7 0 0
 Node 45:   0 0 3 1 2 0 1 1 2 0 0 1 0 1 0 0
 Node 46:   0 0 3 1 1 0 1 1 2 0 0 1 0 0 0 0
 Node 47:   0 0 3 1 6 0 1 1 2 0 0 1 0 2 0 0
 Node 48:   0 0 2 3 3 0 1 1 0 0 0 2 0 2 0 0
 Node 49:   0 3 0 1 0 0 1 1 0 0 0 0 0 0 0 0
 Node 50:   0 2 1 1 0 0 1 1 0 0 0 0 0 0 0 0
 Node 51:   0 0 2 2 3 0 1 1 0 0 0 1 0 1 0 0
 Node 52:   0 0 3 2 1 0 1 1 0 0 0 1 0 1 0 0
