ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 6
 path_based renewable label = 6
 slot_max = 6


 (east, west, south, north, front, back, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), front, back, from host(vch2)0,.. to host(vch2)0,..
 Node  0:   1 0 3 0 1 0 1 2 0 2 0 1 0 0 0 1
 Node  1:   0 1 1 0 2 0 1 0 0 1 0 2 0 0 0 0
 Node  2:   1 1 3 0 0 0 0 0 0 1 0 1 0 1 1 0
 Node  3:   0 1 1 0 1 0 0 0 0 1 0 1 0 2 1 2
 Node  4:   0 0 1 0 4 0 1 0 0 1 0 1 0 2 0 3
 Node  5:   2 0 0 0 3 0 1 0 0 1 0 2 0 4 0 0
 Node  6:   2 0 1 0 4 0 1 0 0 0 0 2 0 4 0 0
 Node  7:   2 1 3 0 4 0 0 2 0 0 0 2 0 2 1 0
 Node  8:   2 1 3 0 0 0 0 0 0 0 0 1 0 2 1 0
 Node  9:   2 1 1 0 4 0 0 0 0 0 0 1 0 0 1 0
 Node 10:   2 0 1 0 1 0 0 2 1 0 0 2 0 5 1 1
 Node 11:   2 1 2 0 2 0 0 0 1 0 0 0 0 2 1 0
 Node 12:   1 1 3 0 1 0 1 0 1 0 0 2 0 0 0 1
 Node 13:   1 1 1 0 1 0 0 1 1 0 0 2 0 1 1 0
 Node 14:   0 1 2 0 2 0 0 1 1 0 0 2 0 0 1 1
 Node 15:   0 1 3 0 2 0 1 1 1 0 0 2 0 4 0 1
 Node 16:   1 0 2 0 3 0 1 0 0 1 0 1 0 3 0 0
 Node 17:   1 1 1 0 0 0 1 0 0 1 0 1 0 0 0 0
 Node 18:   1 2 1 0 2 0 1 1 0 0 0 1 0 0 0 0
 Node 19:   1 2 1 0 2 0 1 2 0 0 0 1 0 3 0 1
 Node 20:   1 2 1 0 0 0 0 0 0 0 0 1 0 0 1 1
 Node 21:   0 1 0 1 0 0 0 0 0 0 0 2 0 0 1 0
 Node 22:   1 1 1 0 1 0 1 0 0 0 0 2 0 3 0 0
 Node 23:   1 1 3 1 0 0 0 1 0 0 0 2 0 4 1 0
 Node 24:   3 1 1 0 1 0 1 1 0 0 0 1 0 3 0 1
 Node 25:   2 1 2 1 2 0 0 0 0 0 0 1 0 2 1 0
 Node 26:   0 2 2 2 0 0 1 1 0 0 0 1 0 1 0 0
 Node 27:   0 2 1 1 0 0 0 0 0 0 0 0 0 1 1 0
 Node 28:   0 1 1 0 4 0 1 1 1 0 0 2 0 0 0 1
 Node 29:   1 1 1 0 3 0 1 0 1 0 0 1 0 2 0 0
 Node 30:   0 2 2 0 1 0 0 1 1 0 0 2 0 3 1 0
 Node 31:   0 1 3 0 0 0 0 0 2 0 0 1 0 0 1 0
 Node 32:   1 0 2 0 2 0 1 1 0 2 0 1 0 3 0 0
 Node 33:   1 0 1 0 1 0 0 0 0 1 0 0 0 3 1 2
 Node 34:   0 1 3 0 1 0 1 0 0 0 0 0 0 2 0 1
 Node 35:   1 1 1 0 1 0 0 3 0 0 0 1 0 2 1 1
 Node 36:   2 2 1 1 4 0 0 1 0 0 0 1 0 4 1 0
 Node 37:   2 2 2 1 3 0 0 0 0 0 0 0 0 0 1 0
 Node 38:   2 3 1 1 0 0 0 0 0 0 0 2 0 0 1 0
 Node 39:   2 3 1 2 3 0 0 0 0 0 0 2 0 1 1 1
 Node 40:   2 3 1 0 2 0 1 1 0 0 0 1 0 0 0 0
 Node 41:   1 3 2 2 0 0 0 1 0 0 0 1 0 2 1 1
 Node 42:   1 3 1 1 4 0 1 0 0 0 0 1 0 1 0 1
 Node 43:   1 3 1 1 5 0 1 0 0 0 0 0 0 0 0 1
 Node 44:   1 2 1 0 1 0 1 0 0 0 0 2 0 1 0 1
 Node 45:   1 3 1 0 1 0 1 1 1 0 0 1 0 0 0 0
 Node 46:   1 3 2 0 3 0 0 0 1 0 0 2 0 2 1 0
 Node 47:   0 3 2 0 1 0 0 1 1 0 0 1 0 2 1 0
 Node 48:   1 0 1 0 2 0 1 1 0 2 0 1 0 2 0 1
 Node 49:   1 0 2 0 3 0 1 0 0 1 0 0 0 1 0 0
 Node 50:   2 0 2 1 0 0 0 0 0 1 0 0 0 1 1 0
 Node 51:   2 0 1 1 2 0 1 0 0 1 0 1 0 1 0 0
 Node 52:   2 0 1 2 1 0 1 0 0 1 0 1 0 3 0 0
 Node 53:   2 2 2 1 0 0 1 0 0 0 0 0 0 2 0 1
 Node 54:   2 2 0 1 4 0 0 0 0 0 0 1 0 1 1 0
 Node 55:   1 2 0 2 4 0 0 0 0 0 0 1 0 3 1 2
 Node 56:   1 2 0 0 0 0 1 0 0 0 0 1 0 2 0 0
 Node 57:   1 0 2 2 2 0 1 0 0 0 0 0 0 2 0 0
 Node 58:   1 0 1 1 1 0 0 0 1 0 0 1 0 4 1 1
 Node 59:   2 0 1 2 1 0 1 0 1 0 0 0 0 0 0 1
 Node 60:   2 0 2 0 1 0 1 0 1 0 0 1 0 1 0 0
 Node 61:   2 0 2 1 1 0 0 1 1 0 0 1 0 1 1 0
 Node 62:   1 1 2 1 3 0 0 0 1 0 0 1 0 2 1 0
 Node 63:   0 2 3 0 1 0 0 2 1 0 0 0 0 0 1 1
 Node 64:   2 0 2 1 1 0 0 1 0 2 0 1 0 3 1 0
 Node 65:   1 2 2 0 0 0 1 0 0 2 0 0 0 4 0 0
 Node 66:   1 2 1 1 3 0 0 0 0 1 0 0 0 2 1 1
 Node 67:   2 2 1 1 2 0 0 0 0 0 0 1 0 1 1 0
 Node 68:   2 2 1 2 4 0 1 0 0 0 0 0 0 1 0 0
 Node 69:   2 1 2 1 2 0 1 1 0 0 0 0 0 1 0 1
 Node 70:   2 1 2 0 2 0 0 0 0 0 0 1 0 1 1 1
 Node 71:   1 2 0 2 2 0 1 0 0 0 0 0 0 1 0 0
 Node 72:   1 2 0 1 2 0 1 0 0 0 0 1 0 2 0 0
 Node 73:   1 1 2 1 5 0 1 0 0 0 0 0 0 3 0 1
 Node 74:   0 1 1 2 1 0 1 0 1 0 0 1 0 1 0 2
