ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 19
 path_based renewable label = 19
 slot_max = 19


 (east, west, south, north, front, back, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), front, back, from host(vch2)0,.. to host(vch2)0,..
 Node  0:   12 0 0 0 4 0 9 0 0 2 0 1 0 18 1 10
 Node  1:   11 1 2 0 0 0 1 1 0 1 0 2 0 4 0 0
 Node  2:   1 0 10 0 4 0 0 0 0 1 0 1 0 0 1 1
 Node  3:   0 1 2 0 0 0 1 1 0 0 0 2 0 4 0 0
 Node  4:   1 0 8 0 4 0 0 0 0 0 0 1 0 0 1 1
 Node  5:   1 9 2 0 0 0 1 1 0 0 0 1 0 4 0 0
 Node  6:   2 9 10 0 4 0 0 0 0 0 0 1 0 0 1 1
 Node  7:   2 19 3 0 0 0 19 1 0 0 0 2 0 12 0 18
 Node  8:   12 2 0 0 4 0 9 0 0 0 0 1 0 18 1 10
 Node  9:   10 2 2 0 0 0 1 1 0 0 0 2 0 4 0 0
 Node 10:   1 1 10 0 4 0 0 0 0 0 0 1 0 0 1 1
 Node 11:   0 1 2 0 0 0 1 1 0 0 0 2 0 4 0 0
 Node 12:   0 0 8 0 4 0 0 0 1 0 0 1 0 0 1 1
 Node 13:   0 9 2 0 0 0 1 1 2 0 0 2 0 4 0 0
 Node 14:   0 9 10 0 4 0 0 0 3 0 0 1 0 0 1 1
 Node 15:   0 19 3 0 0 0 19 1 3 0 0 1 0 12 0 18
 Node 16:   1 0 0 0 4 0 0 0 0 1 0 1 0 0 1 1
 Node 17:   1 1 1 0 0 0 1 1 0 0 0 2 0 1 0 0
 Node 18:   1 0 7 0 4 0 0 0 0 0 0 0 0 1 1 1
 Node 19:   0 1 2 0 0 0 1 1 0 0 0 1 0 1 0 0
 Node 20:   1 0 6 0 4 0 0 0 0 0 0 1 0 0 1 1
 Node 21:   1 2 1 0 0 0 1 1 0 0 0 1 0 1 0 0
 Node 22:   1 1 7 0 4 0 0 0 0 0 0 0 0 1 1 1
 Node 23:   1 2 2 0 0 0 1 1 0 0 0 1 0 5 0 0
 Node 24:   1 1 0 0 4 0 0 0 0 0 0 1 0 0 1 1
 Node 25:   1 1 1 0 0 0 1 1 0 0 0 2 0 1 0 0
 Node 26:   1 0 7 0 4 0 0 0 0 0 0 0 0 1 1 1
 Node 27:   0 1 2 0 0 0 1 1 0 0 0 1 0 1 0 0
 Node 28:   0 0 6 0 4 0 0 0 1 0 0 1 0 0 1 1
 Node 29:   0 2 1 0 0 0 1 1 1 0 0 2 0 1 0 0
 Node 30:   0 1 7 0 4 0 0 0 1 0 0 0 0 1 1 1
 Node 31:   0 2 2 0 0 0 1 1 1 0 0 0 0 5 0 0
 Node 32:   2 0 0 0 4 0 0 0 0 2 0 1 0 0 1 1
 Node 33:   0 1 1 0 0 0 1 1 0 2 0 2 0 1 0 0
 Node 34:   0 0 3 0 4 0 0 0 0 2 0 0 0 0 1 1
 Node 35:   0 1 1 0 0 0 1 1 0 0 0 1 0 1 0 0
 Node 36:   0 0 3 0 4 0 0 0 0 0 0 1 0 0 1 1
 Node 37:   0 1 1 0 0 0 1 1 0 0 0 1 0 1 0 0
 Node 38:   2 1 3 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 39:   2 2 1 0 0 0 1 1 0 0 0 1 0 4 0 0
 Node 40:   2 1 0 0 4 0 0 0 0 0 0 1 0 1 1 1
 Node 41:   0 2 1 0 0 0 1 1 0 0 0 2 0 1 0 0
 Node 42:   0 1 3 0 4 0 0 0 0 0 0 0 0 1 1 1
 Node 43:   0 1 1 0 0 0 1 1 0 0 0 1 0 1 0 0
 Node 44:   0 0 3 0 4 0 0 0 0 0 0 1 0 0 1 1
 Node 45:   0 1 1 0 0 0 1 1 0 0 0 2 0 1 0 0
 Node 46:   0 2 3 0 3 0 0 0 2 0 0 0 0 0 1 1
 Node 47:   0 2 1 0 1 0 1 1 2 0 0 0 0 4 0 0
 Node 48:   2 0 0 0 4 0 0 0 0 1 0 0 0 1 1 1
 Node 49:   1 1 0 0 0 0 1 1 0 1 0 1 0 1 0 0
 Node 50:   1 0 0 0 4 0 0 0 0 1 0 0 0 0 1 1
 Node 51:   0 1 0 0 0 0 1 1 0 0 0 1 0 1 0 0
 Node 52:   1 0 0 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 53:   1 1 0 0 0 0 1 1 0 0 0 1 0 1 0 0
 Node 54:   2 1 0 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 55:   2 2 0 0 0 0 1 1 0 0 0 1 0 4 0 0
 Node 56:   2 2 0 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 57:   1 2 0 0 0 0 1 1 0 0 0 1 0 1 0 0
 Node 58:   1 1 0 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 59:   0 1 0 0 0 0 1 1 0 0 0 1 0 1 0 0
 Node 60:   0 0 0 0 4 0 0 0 1 0 0 0 0 0 1 1
 Node 61:   0 1 0 0 0 0 1 1 1 0 0 1 0 1 0 0
 Node 62:   0 1 0 0 4 0 0 0 2 0 0 0 0 0 1 1
 Node 63:   0 2 0 0 0 0 1 1 2 0 0 0 0 4 0 0
 Node 64:   2 0 0 0 4 0 0 0 0 2 0 0 0 0 1 1
 Node 65:   1 1 1 0 0 0 1 1 0 1 0 0 0 0 0 0
 Node 66:   1 0 0 0 4 0 0 0 0 1 0 0 0 0 1 1
 Node 67:   0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0
 Node 68:   1 0 0 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 69:   1 2 1 0 0 0 1 1 0 0 0 0 0 0 0 0
 Node 70:   2 2 0 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 71:   2 3 1 0 0 0 1 1 0 0 0 0 0 3 0 0
 Node 72:   2 2 0 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 73:   1 2 1 0 0 0 1 1 0 0 0 0 0 0 0 0
 Node 74:   1 1 0 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 75:   0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0
 Node 76:   0 0 0 0 4 0 0 0 1 0 0 0 0 0 1 1
 Node 77:   0 2 1 0 0 0 1 1 1 0 0 0 0 0 0 0
 Node 78:   0 2 0 0 4 0 0 0 2 0 0 0 0 0 1 1
 Node 79:   0 3 1 0 0 0 1 1 2 0 0 0 0 3 0 0
 Node 80:   2 0 0 0 4 0 0 0 0 2 0 0 0 0 1 1
