ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 23
 path_based renewable label = 25
 slot_max = 25


 (east, west, south, north, front, back, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), front, back, from host(vch2)0,.. to host(vch2)0,..
 Node  0:   23 0 5 0 3 0 9 18 0 1 0 8 0 19 19 10
 Node  1:   16 0 9 0 3 0 1 1 0 0 0 3 0 3 0 0
 Node  2:   9 0 10 0 3 0 0 0 0 0 0 3 0 4 1 1
 Node  3:   0 0 11 0 3 0 1 1 0 0 0 3 0 6 0 0
 Node  4:   1 0 7 0 3 0 0 0 0 0 0 1 0 3 1 1
 Node  5:   1 7 11 0 3 0 1 1 0 0 0 2 0 3 0 0
 Node  6:   1 15 11 0 3 0 0 0 0 0 0 3 0 4 1 1
 Node  7:   1 23 7 0 3 0 19 10 0 0 0 10 0 19 9 18
 Node  8:   23 1 5 0 3 0 9 18 0 0 0 8 0 19 19 10
 Node  9:   16 0 8 0 3 0 1 1 0 0 0 2 0 3 0 0
 Node 10:   9 0 10 0 3 0 0 0 0 0 0 2 0 5 1 1
 Node 11:   0 0 11 0 3 0 1 1 0 0 0 3 0 6 0 0
 Node 12:   0 0 7 0 3 0 0 0 1 0 0 2 0 3 1 1
 Node 13:   0 7 11 0 3 0 1 1 1 0 0 2 0 3 0 0
 Node 14:   0 15 11 0 3 0 0 0 1 0 0 2 0 4 1 1
 Node 15:   0 23 7 0 3 0 19 10 1 0 0 10 0 18 9 18
 Node 16:   6 0 2 0 3 0 0 0 0 2 0 8 0 6 1 1
 Node 17:   5 0 7 0 3 0 1 1 0 1 0 2 0 1 0 0
 Node 18:   2 0 8 0 3 0 0 0 0 1 0 2 0 2 1 1
 Node 19:   0 0 9 0 3 0 1 1 0 1 0 2 0 0 0 0
 Node 20:   1 0 5 0 3 0 0 0 0 0 0 1 0 0 1 1
 Node 21:   3 1 7 0 3 0 1 1 0 0 0 1 0 1 0 0
 Node 22:   3 2 9 0 3 0 0 0 0 0 0 2 0 1 1 1
 Node 23:   3 4 4 0 3 0 1 1 0 0 0 9 0 9 0 0
 Node 24:   6 2 2 0 3 0 0 0 0 0 0 8 0 6 1 1
 Node 25:   5 1 6 0 3 0 1 1 0 0 0 1 0 0 0 0
 Node 26:   2 0 8 0 3 0 0 0 0 0 0 1 0 2 1 1
 Node 27:   0 0 9 0 3 0 1 1 0 0 0 2 0 1 0 0
 Node 28:   0 0 5 0 3 0 0 0 1 0 0 2 0 0 1 1
 Node 29:   0 2 7 0 3 0 1 1 3 0 0 1 0 1 0 0
 Node 30:   0 3 8 0 3 0 0 0 3 0 0 1 0 1 1 1
 Node 31:   0 4 4 0 3 0 1 1 3 0 0 9 0 9 0 0
 Node 32:   4 0 0 0 3 0 0 0 0 3 0 7 0 7 1 1
 Node 33:   3 0 4 0 3 0 1 1 0 2 0 2 0 1 0 0
 Node 34:   1 0 5 0 3 0 0 0 0 1 0 1 0 3 1 1
 Node 35:   0 0 5 0 3 0 1 1 0 1 0 1 0 2 0 0
 Node 36:   1 0 3 0 3 0 0 0 0 0 0 1 0 0 1 1
 Node 37:   2 1 3 0 3 0 1 1 0 0 0 1 0 1 0 0
 Node 38:   2 1 5 0 3 0 0 0 0 0 0 1 0 3 1 1
 Node 39:   3 2 2 0 3 0 1 1 0 0 0 7 0 8 0 0
 Node 40:   4 2 0 0 3 0 0 0 0 0 0 7 0 8 1 1
 Node 41:   3 1 3 0 3 0 1 1 0 0 0 1 0 1 0 0
 Node 42:   1 0 5 0 3 0 0 0 0 0 0 0 0 3 1 1
 Node 43:   0 0 5 0 3 0 1 1 0 0 0 1 0 3 0 0
 Node 44:   0 0 3 0 3 0 0 0 1 0 0 1 0 1 1 1
 Node 45:   0 2 3 0 3 0 1 1 2 0 0 1 0 1 0 0
 Node 46:   0 2 4 0 3 0 0 0 2 0 0 0 0 3 1 1
 Node 47:   0 3 2 0 3 0 1 1 2 0 0 7 0 9 0 0
 Node 48:   3 0 0 0 3 0 0 0 0 3 0 4 0 8 1 1
 Node 49:   2 0 0 0 3 0 1 1 0 3 0 2 0 0 0 0
 Node 50:   1 0 0 0 3 0 0 0 0 2 0 1 0 2 1 1
