ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 9
 path_based renewable label = 9
 slot_max = 9


 (east, west, south, north, front, back, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), front, back, from host(vch2)0,.. to host(vch2)0,..
 Node  0:   2 0 3 0 4 0 0 1 0 2 0 3 0 0 2 1
 Node  1:   2 1 0 0 3 0 0 1 0 1 0 1 0 0 2 1
 Node  2:   1 1 1 0 2 0 0 0 0 0 0 3 0 1 1 1
 Node  3:   0 2 2 0 2 0 1 0 0 0 0 0 0 1 1 2
 Node  4:   0 1 1 0 4 0 0 0 0 0 0 1 0 1 1 1
 Node  5:   0 2 0 0 4 0 2 1 0 0 0 0 0 0 0 1
 Node  6:   1 0 1 0 2 0 2 0 0 0 0 2 0 1 0 2
 Node  7:   2 0 2 0 2 0 0 0 0 0 0 1 0 2 1 1
 Node  8:   2 0 2 0 4 0 0 1 0 0 0 2 0 1 2 1
 Node  9:   2 0 0 0 4 0 1 1 0 0 0 3 0 1 0 0
 Node 10:   2 0 2 0 3 0 0 1 0 0 0 1 0 2 1 0
 Node 11:   1 0 2 0 3 0 0 0 0 0 0 2 0 2 1 1
 Node 12:   1 0 7 0 3 0 0 0 0 0 0 3 0 1 1 1
 Node 13:   1 0 2 0 5 0 1 1 0 0 0 0 0 2 0 0
 Node 14:   1 1 0 0 5 0 0 0 0 0 0 3 0 0 1 1
 Node 15:   0 1 4 0 4 0 1 1 1 0 0 4 0 3 1 1
 Node 16:   0 0 5 0 2 0 0 0 0 1 0 3 0 0 1 1
 Node 17:   0 2 1 0 5 0 1 1 0 0 0 0 0 0 0 0
 Node 18:   0 2 1 2 2 0 1 0 0 0 0 1 0 0 0 1
 Node 19:   0 2 2 1 3 0 0 0 0 0 0 0 0 0 1 1
 Node 20:   0 2 1 0 1 0 0 1 0 0 0 0 0 1 1 0
 Node 21:   0 2 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 22:   0 1 2 1 1 0 1 0 0 0 0 2 0 0 0 1
 Node 23:   4 3 1 1 3 0 2 2 0 0 0 1 0 0 3 3
 Node 24:   6 2 2 0 0 0 1 0 0 0 0 1 0 0 0 1
 Node 25:   7 2 0 0 1 0 3 3 0 0 0 2 0 0 2 2
 Node 26:   5 0 2 2 2 0 0 1 0 0 0 1 0 0 1 0
 Node 27:   2 0 3 2 2 0 0 0 0 0 0 2 0 2 1 1
 Node 28:   3 0 7 2 0 0 1 0 0 0 0 2 0 0 0 1
 Node 29:   3 0 2 0 2 0 2 2 1 0 0 0 0 1 1 1
 Node 30:   2 0 0 4 0 0 0 0 1 0 0 2 0 0 1 1
 Node 31:   0 0 4 1 3 0 0 0 1 0 0 2 0 0 1 1
 Node 32:   1 0 5 0 0 0 0 0 0 4 0 2 0 0 1 1
 Node 33:   1 2 1 1 2 0 2 2 0 3 0 0 0 1 1 1
 Node 34:   0 2 1 2 1 0 1 0 0 1 0 0 0 0 0 1
 Node 35:   0 2 4 0 2 0 0 0 0 1 0 0 0 1 1 1
 Node 36:   0 4 3 0 0 0 0 1 0 0 0 0 0 1 1 0
 Node 37:   2 5 0 0 0 0 3 3 0 0 0 0 0 2 2 2
 Node 38:   2 2 2 1 1 0 1 0 0 0 0 0 0 1 0 1
 Node 39:   3 2 2 0 0 0 2 2 0 0 0 0 0 3 3 3
 Node 40:   3 0 4 1 0 0 1 0 0 0 0 1 0 2 0 1
 Node 41:   4 0 0 0 0 0 1 1 0 0 0 0 0 5 0 0
 Node 42:   4 0 2 2 1 0 0 1 0 0 0 0 0 2 1 0
 Node 43:   2 0 3 0 1 0 0 0 0 0 0 2 0 6 1 1
 Node 44:   1 0 6 2 0 0 1 0 0 0 0 2 0 3 0 1
 Node 45:   2 1 0 0 1 0 1 1 0 0 0 0 0 7 0 0
 Node 46:   0 1 1 3 1 0 0 0 0 0 0 1 0 4 1 1
 Node 47:   0 2 4 1 4 0 2 1 1 0 0 1 0 4 1 2
 Node 48:   0 0 5 0 1 0 0 0 0 3 0 1 0 3 1 1
 Node 49:   0 2 0 2 3 0 1 1 0 2 0 0 0 4 0 0
 Node 50:   0 2 3 1 0 0 1 0 0 2 0 0 0 4 0 1
 Node 51:   0 3 2 0 3 0 0 0 0 2 0 0 0 3 1 1
 Node 52:   0 3 2 0 3 0 0 1 0 0 0 0 0 4 1 0
 Node 53:   0 2 0 0 1 0 1 1 0 0 0 0 0 2 0 0
 Node 54:   0 1 2 1 1 0 1 0 0 0 0 0 0 4 0 1
 Node 55:   2 1 1 0 3 0 1 0 0 0 0 0 0 2 1 2
 Node 56:   2 1 2 2 2 0 1 0 0 0 0 1 0 3 1 2
 Node 57:   4 0 0 0 0 0 1 0 0 0 0 0 0 1 1 2
 Node 58:   2 0 3 2 1 0 0 0 0 0 0 0 0 4 1 1
 Node 59:   4 0 3 1 3 0 0 0 0 0 0 2 0 3 1 1
 Node 60:   4 0 1 1 4 0 0 0 0 0 0 1 0 3 1 1
 Node 61:   5 1 1 2 1 0 1 1 0 0 0 0 0 1 2 2
 Node 62:   4 2 2 3 3 0 0 0 0 0 0 1 0 3 1 1
 Node 63:   0 5 5 2 5 0 1 1 1 0 0 1 0 2 0 0
 Node 64:   1 0 3 0 1 0 2 1 0 4 0 0 0 0 0 1
 Node 65:   0 0 1 4 1 0 1 1 0 2 0 0 0 1 0 0
 Node 66:   0 2 3 1 2 0 1 1 0 1 0 0 0 1 0 0
 Node 67:   0 2 4 1 3 0 1 1 0 0 0 0 0 0 0 0
 Node 68:   0 4 0 1 2 0 0 1 0 0 0 0 0 0 2 1
 Node 69:   1 2 0 2 1 0 0 2 0 0 0 0 0 2 2 0
 Node 70:   2 1 2 0 2 0 1 2 0 0 0 0 0 0 1 0
 Node 71:   2 0 1 0 2 0 1 1 0 0 0 0 0 1 0 0
 Node 72:   2 0 0 2 3 0 0 0 0 0 0 0 0 1 1 1
 Node 73:   2 0 1 2 2 0 1 0 0 0 0 0 0 3 0 1
 Node 74:   3 0 3 1 3 0 1 1 0 0 0 0 0 1 0 0
 Node 75:   3 0 3 3 3 0 1 1 0 0 0 0 0 2 0 0
 Node 76:   3 1 0 1 3 0 0 0 0 0 0 0 0 1 1 1
 Node 77:   2 1 1 3 4 0 1 1 0 0 0 0 0 3 0 0
 Node 78:   0 1 3 6 3 0 1 2 1 0 0 1 0 4 2 1
 Node 79:   0 4 4 5 1 0 1 1 1 0 0 0 0 0 0 0
 Node 80:   0 0 3 0 5 0 0 0 0 2 0 0 0 3 1 1
 Node 81:   0 2 1 4 2 0 0 1 0 1 0 0 0 0 1 0
 Node 82:   0 3 3 4 2 0 1 1 0 0 0 0 0 3 0 0
 Node 83:   0 5 4 0 2 0 1 0 0 0 0 0 0 0 0 1
 Node 84:   1 4 0 1 5 0 0 0 0 0 0 0 0 0 3 3
 Node 85:   0 3 1 3 1 0 0 1 0 0 0 0 0 0 1 0
