ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 14
 path_based renewable label = 14
 slot_max = 14


 (east, west, south, north, front, back, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), front, back, from host(vch2)0,.. to host(vch2)0,..
 Node  0:   1 0 1 0 2 0 0 2 0 2 0 2 0 1 3 1
 Node  1:   1 1 0 0 2 0 1 1 0 0 0 2 0 2 0 0
 Node  2:   2 0 0 0 3 0 2 1 0 0 0 0 0 4 0 1
 Node  3:   1 2 1 0 4 0 1 1 0 0 0 0 0 2 0 0
 Node  4:   0 3 2 0 2 0 1 1 0 0 0 1 0 5 0 0
 Node  5:   0 3 0 0 2 0 2 1 0 0 0 1 0 2 0 1
 Node  6:   1 1 0 0 1 0 1 2 0 0 0 1 0 2 1 0
 Node  7:   0 0 1 0 5 0 1 1 0 0 0 1 0 6 0 0
 Node  8:   1 0 2 0 3 0 1 2 0 0 0 1 0 3 1 0
 Node  9:   1 1 0 0 1 0 1 1 1 0 0 0 0 1 0 0
 Node 10:   2 1 0 0 1 0 2 1 1 0 0 0 0 3 0 1
 Node 11:   1 1 1 0 4 0 2 1 1 0 0 1 0 2 0 1
 Node 12:   1 0 1 0 2 0 1 2 1 0 0 1 0 4 1 0
 Node 13:   1 0 0 0 3 0 1 1 1 0 0 3 0 1 0 0
 Node 14:   1 1 0 0 3 0 1 1 1 0 0 0 0 0 0 0
 Node 15:   0 1 1 0 6 0 1 1 1 0 0 2 0 4 0 0
 Node 16:   0 0 2 0 3 0 1 1 0 0 0 2 0 0 0 0
 Node 17:   0 2 1 0 1 0 1 1 0 0 0 2 0 0 0 0
 Node 18:   0 2 1 0 1 0 0 0 0 0 0 0 0 3 1 1
 Node 19:   0 2 2 0 3 0 0 1 0 0 0 0 0 0 1 0
 Node 20:   0 2 2 0 0 0 1 1 0 0 0 1 0 3 0 0
 Node 21:   0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 1
 Node 22:   0 1 1 0 0 0 0 0 0 0 0 1 0 1 1 1
 Node 23:   0 1 2 0 2 0 0 1 0 0 0 1 0 0 1 0
 Node 24:   0 1 3 0 0 0 1 1 0 0 0 1 0 2 0 0
 Node 25:   1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0
 Node 26:   1 0 1 0 0 0 0 0 0 0 0 0 0 2 1 1
 Node 27:   1 0 2 0 3 0 1 0 0 0 0 1 0 0 0 1
 Node 28:   1 0 2 0 0 0 1 1 0 0 0 1 0 3 0 0
 Node 29:   1 0 1 0 2 0 0 1 0 0 0 2 0 0 1 0
 Node 30:   1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1
 Node 31:   0 0 2 0 1 0 1 1 0 0 0 1 0 1 0 0
 Node 32:   2 0 3 1 1 0 1 1 0 0 0 2 0 2 0 0
 Node 33:   2 1 2 0 1 0 1 1 0 0 0 2 0 1 0 0
 Node 34:   0 2 3 1 0 0 0 0 0 0 0 0 0 3 1 1
 Node 35:   0 2 3 1 3 0 0 1 0 0 0 0 0 0 1 0
 Node 36:   0 2 2 2 0 0 1 1 0 0 0 1 0 3 0 0
 Node 37:   0 1 2 0 1 0 1 0 0 0 0 1 0 0 0 1
 Node 38:   0 1 1 0 0 0 0 0 0 0 0 1 0 1 1 1
 Node 39:   0 0 3 1 2 0 0 1 0 0 0 1 0 0 1 0
 Node 40:   0 0 5 2 1 0 1 1 0 0 0 1 0 3 0 0
 Node 41:   1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0
 Node 42:   2 0 1 0 1 0 0 0 0 0 0 0 0 2 1 1
 Node 43:   2 0 2 1 3 0 1 0 0 0 0 1 0 2 0 1
 Node 44:   2 0 2 1 2 0 1 1 0 0 0 1 0 3 0 0
 Node 45:   1 0 1 0 3 0 0 1 0 0 0 2 0 2 1 0
 Node 46:   2 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1
 Node 47:   0 0 2 1 2 0 3 1 3 0 0 1 0 2 0 2
 Node 48:   3 0 2 3 1 0 1 3 0 0 0 2 0 1 2 0
 Node 49:   3 2 1 1 2 0 1 1 0 0 0 2 0 2 0 0
 Node 50:   4 3 2 1 2 0 2 0 0 0 0 0 0 3 1 3
 Node 51:   2 3 2 2 4 0 0 1 0 0 0 0 0 2 1 0
 Node 52:   0 3 2 4 0 0 1 1 0 0 0 1 0 3 0 0
 Node 53:   0 5 1 0 3 0 3 0 0 0 0 1 0 1 0 3
 Node 54:   2 2 1 0 1 0 0 2 0 0 0 1 0 3 3 1
 Node 55:   0 2 2 2 2 0 0 1 0 0 0 1 0 5 1 0
 Node 56:   2 1 4 4 2 0 1 3 0 0 0 1 0 2 2 0
 Node 57:   3 2 0 0 2 0 0 1 0 0 0 0 0 2 1 0
 Node 58:   6 2 1 1 0 0 2 0 0 0 0 0 0 4 1 3
 Node 59:   4 2 2 3 2 0 3 0 0 0 0 1 0 0 0 3
 Node 60:   5 0 2 3 0 0 1 3 0 0 0 1 0 3 2 0
 Node 61:   4 0 1 1 5 0 0 1 0 0 0 2 0 1 1 0
 Node 62:   4 0 1 1 5 0 0 0 0 0 0 0 0 1 1 1
 Node 63:   0 0 2 3 3 0 2 1 2 0 0 1 0 3 0 1
 Node 64:   2 0 1 3 3 0 1 2 0 0 0 0 0 0 1 0
 Node 65:   2 1 1 2 3 0 1 1 0 0 0 0 0 2 0 0
 Node 66:   2 3 2 1 3 0 1 0 0 0 0 0 0 3 1 2
 Node 67:   1 3 1 2 4 0 0 1 0 0 0 0 0 0 1 0
 Node 68:   0 3 0 2 0 0 1 1 0 0 0 0 0 3 0 0
 Node 69:   0 3 1 1 2 0 2 0 0 0 0 0 0 1 0 2
 Node 70:   1 2 1 1 0 0 0 1 0 0 0 0 0 2 2 1
 Node 71:   0 1 1 2 2 0 0 1 0 0 0 0 0 3 1 0
 Node 72:   1 1 1 3 1 0 1 2 0 0 0 0 0 1 1 0
 Node 73:   2 1 0 0 1 0 0 1 0 0 0 0 0 1 1 0
 Node 74:   4 1 0 1 0 0 1 0 0 0 0 0 0 3 1 2
 Node 75:   3 1 0 2 3 0 2 0 0 0 0 0 0 1 0 2
 Node 76:   3 0 0 3 1 0 1 2 0 0 0 0 0 3 1 0
 Node 77:   2 0 0 3 4 0 0 1 0 0 0 0 0 1 1 0
 Node 78:   3 0 0 2 2 0 0 0 0 0 0 0 0 0 1 1
 Node 79:   0 0 0 4 2 0 2 1 2 0 0 0 0 2 0 1
 Node 80:   1 0 2 1 4 0 1 2 0 0 0 0 0 1 1 0
 Node 81:   1 2 1 1 2 0 1 1 0 0 0 0 0 2 0 0
 Node 82:   2 3 2 1 2 0 1 0 0 0 0 0 0 3 1 2
 Node 83:   1 3 2 1 4 0 0 1 0 0 0 0 0 0 1 0
 Node 84:   0 3 2 0 0 0 1 1 0 0 0 0 0 3 0 0
 Node 85:   0 3 1 1 2 0 2 0 0 0 0 0 0 1 0 2
 Node 86:   1 2 1 1 0 0 0 1 0 0 0 0 0 2 2 1
 Node 87:   0 1 2 1 2 0 0 1 0 0 0 0 0 3 1 0
