ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 8
 path_based renewable label = 8
 slot_max = 8


 (east, west, south, north, front, back, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), front, back, from host(vch2)0,.. to host(vch2)0,..
 Node  0:   0 0 4 0 3 0 0 1 0 1 0 0 0 0 1 2
 Node  1:   0 1 0 0 3 0 1 0 0 0 0 0 0 0 0 0
 Node  2:   2 0 3 0 3 0 0 0 0 0 0 2 0 0 2 1
 Node  3:   1 1 1 0 1 0 1 1 0 0 0 1 0 1 0 1
 Node  4:   1 0 1 0 3 0 1 0 0 0 0 2 0 4 0 3
 Node  5:   2 2 0 0 2 0 1 0 0 0 0 2 0 4 1 1
 Node  6:   2 2 1 0 5 0 1 0 0 0 0 3 0 4 0 0
 Node  7:   2 2 2 0 2 0 2 2 0 0 0 1 0 1 0 1
 Node  8:   2 1 2 0 1 0 0 0 0 0 0 2 0 4 1 0
 Node  9:   1 1 3 0 4 0 0 0 0 0 0 0 0 0 1 0
 Node 10:   1 1 2 0 2 0 1 2 0 0 0 0 0 4 0 1
 Node 11:   2 1 2 0 3 0 1 0 0 0 0 0 0 1 1 1
 Node 12:   1 1 2 0 1 0 1 0 0 0 0 2 0 0 0 1
 Node 13:   1 1 1 0 2 0 1 0 0 0 0 2 0 0 0 1
 Node 14:   0 2 3 0 3 0 0 1 0 0 0 2 0 1 2 2
 Node 15:   0 1 0 0 2 0 1 1 0 0 0 2 0 3 0 1
 Node 16:   2 0 3 0 2 0 1 0 0 2 0 0 0 3 1 1
 Node 17:   2 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0
 Node 18:   1 1 1 1 2 0 1 1 0 0 0 1 0 0 0 0
 Node 19:   1 1 1 1 3 0 1 2 0 0 0 1 0 1 0 1
 Node 20:   0 1 2 1 0 0 0 0 0 0 0 1 0 0 1 1
 Node 21:   0 2 1 2 1 0 0 0 0 0 0 1 0 0 1 0
 Node 22:   1 3 1 3 0 0 2 0 0 0 0 3 0 0 0 1
 Node 23:   1 3 1 0 0 0 1 1 0 0 0 1 0 4 0 0
 Node 24:   2 3 0 0 2 0 1 2 0 0 0 2 0 2 0 0
 Node 25:   1 3 3 1 2 0 1 1 0 0 0 0 0 3 2 1
 Node 26:   2 0 3 1 1 0 2 1 0 0 0 0 0 2 0 1
 Node 27:   2 2 1 2 2 0 2 0 0 0 0 0 0 1 0 1
 Node 28:   2 1 1 0 4 0 1 0 0 0 0 2 0 2 0 2
 Node 29:   3 1 2 0 4 0 2 1 0 0 0 1 0 2 0 0
 Node 30:   0 3 5 1 0 0 1 1 1 0 0 2 0 4 1 1
 Node 31:   0 2 0 0 0 0 1 0 3 0 0 1 0 0 0 0
 Node 32:   1 0 3 0 2 0 1 1 0 2 0 0 0 2 0 0
 Node 33:   1 0 1 0 1 0 0 1 0 1 0 0 0 2 1 1
