ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 5
 path_based renewable label = 5


 (east, west, south, north, front, back, out, in, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), front, back, out, in, from host(vch2)0,.. to host(vch2)0,..
 Node  0:   1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1
 Node  1:   0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node  2:   2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
 Node  3:   1 0 1 0 1 0 2 0 1 1 0 0 0 1 0 1 0 0 0 0
 Node  4:   2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
 Node  5:   0 0 1 0 2 0 2 0 1 1 0 0 0 2 0 2 0 0 0 0
 Node  6:   1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1
 Node  7:   0 1 1 0 1 0 2 0 1 1 0 0 0 1 0 1 0 0 0 0
 Node  8:   1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1
 Node  9:   0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 10:   2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
 Node 11:   1 0 1 0 0 0 2 0 1 1 0 0 0 1 0 0 0 0 0 0
 Node 12:   2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
 Node 13:   0 0 1 0 0 0 2 0 1 1 0 0 0 2 0 0 0 0 0 0
 Node 14:   1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1
 Node 15:   0 1 1 0 0 0 2 0 1 1 0 0 0 1 0 0 0 0 0 0
 Node 16:   1 0 0 0 1 0 0 0 0 0 0 2 0 0 0 2 0 1 1 1
 Node 17:   0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 18:   3 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 0 1 1 1
 Node 19:   2 0 1 0 2 0 2 0 1 1 0 0 0 0 0 2 0 0 0 0
 Node 20:   3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
