ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 2
 path_based renewable label = 2
 slot_max = 2


 (east, west, south, north, front, back, out, in, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), front, back, out, in, from host(vch2)0,.. to host(vch2)0,..
 Node  0:   1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
 Node  1:   2 1 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node  2:   1 2 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node  3:   0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node  4:   1 0 2 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node  5:   2 1 2 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node  6:   1 2 2 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node  7:   0 1 2 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node  8:   1 0 1 2 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node  9:   2 1 1 2 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 10:   1 2 1 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 11:   0 1 1 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 12:   1 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 13:   2 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 14:   1 2 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 15:   0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 16:   1 0 1 0 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 17:   2 1 1 0 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 18:   1 2 1 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 19:   0 1 1 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 20:   1 0 2 1 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 21:   2 1 2 1 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 22:   1 2 2 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 23:   0 1 2 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 24:   1 0 1 2 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 25:   2 1 1 2 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 26:   1 2 1 2 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 27:   0 1 1 2 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 28:   1 0 0 1 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 29:   2 1 0 1 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 30:   1 2 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 31:   0 1 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 32:   0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 33:   0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 34:   0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 35:   0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 36:   0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 37:   0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 38:   0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 39:   0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 40:   0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 41:   0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 42:   0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 43:   0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 44:   0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 45:   0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 46:   0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 47:   0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 48:   0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0
 Node 49:   0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
