ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 5
 path_based renewable label = 5
 slot_max = 5


 (east, west, south, north, front, back, out, in, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), front, back, out, in, from host(vch2)0,.. to host(vch2)0,..
 Node  0:   4 0 0 0 1 0 0 0 0 0 0 3 0 1 0 1 0 1 1 1
 Node  1:   3 0 0 0 5 0 1 0 1 1 0 0 0 0 0 3 0 0 0 0
 Node  2:   2 0 0 0 2 0 2 0 1 1 0 0 0 0 0 1 0 0 0 0
 Node  3:   1 0 0 0 2 0 1 0 1 1 0 0 0 0 0 1 0 2 0 0
 Node  4:   0 0 0 0 3 0 3 0 1 1 0 0 0 0 0 3 0 1 0 0
 Node  5:   0 0 0 0 3 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0
 Node  6:   0 1 0 0 3 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0
 Node  7:   0 2 0 0 4 0 0 0 1 1 1 0 0 0 0 3 0 3 0 0
 Node  8:   4 0 0 1 0 0 0 0 1 1 0 3 0 0 0 0 0 0 0 0
 Node  9:   4 0 0 4 1 0 1 0 2 1 0 0 0 0 0 1 0 2 0 1
 Node 10:   3 0 1 2 0 0 2 0 1 2 0 0 0 0 0 0 0 0 1 0
 Node 11:   1 0 1 2 0 0 0 0 1 1 0 0 0 0 0 0 0 2 0 0
 Node 12:   0 0 0 3 0 0 3 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 13:   0 0 1 2 1 0 0 0 1 1 0 0 0 0 0 1 0 2 0 0
 Node 14:   0 2 1 2 1 0 1 0 1 2 0 0 0 0 0 1 0 0 1 0
 Node 15:   0 3 0 4 0 0 0 0 1 1 0 0 0 0 0 0 0 3 0 0
 Node 16:   3 0 0 0 1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0
 Node 17:   1 0 0 5 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0
 Node 18:   1 0 0 1 0 0 2 0 0 0 0 0 0 0 0 1 0 0 1 1
 Node 19:   1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 2 1 0
 Node 20:   1 0 0 2 0 0 2 0 1 1 0 0 0 0 0 1 0 0 0 0
 Node 21:   1 0 0 3 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0
 Node 22:   0 1 0 3 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1
 Node 23:   0 1 0 3 0 0 0 0 1 1 1 0 0 0 0 1 0 1 0 0
 Node 24:   3 0 0 0 1 0 0 0 1 1 0 1 0 0 0 3 0 0 0 0
 Node 25:   1 0 0 3 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 26:   1 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1
 Node 27:   1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 0
 Node 28:   1 0 0 1 1 0 2 0 1 1 0 0 0 0 0 1 0 0 0 0
 Node 29:   1 0 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0
 Node 30:   0 1 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1
 Node 31:   0 1 0 2 1 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0
 Node 32:   4 0 0 0 2 0 0 0 1 1 0 3 0 0 0 1 0 0 0 0
 Node 33:   3 0 0 1 0 0 1 0 1 1 0 0 0 0 0 2 0 0 0 0
 Node 34:   2 0 0 1 0 0 2 0 1 1 0 0 0 0 0 2 0 0 0 0
 Node 35:   1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 2 0 2 0 0
 Node 36:   0 0 0 0 1 0 3 0 1 1 0 0 0 0 0 1 0 0 0 0
 Node 37:   0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 2 0 1 0 0
 Node 38:   0 1 0 1 0 0 1 0 1 1 0 0 0 0 0 2 0 0 0 0
 Node 39:   0 2 0 1 0 0 0 0 1 1 0 0 0 0 0 2 0 3 0 0
 Node 40:   3 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0
 Node 41:   2 0 1 0 0 0 1 0 2 1 0 0 1 0 0 0 0 2 0 1
 Node 42:   2 0 0 1 0 0 2 0 0 1 0 0 0 0 0 0 0 0 2 1
 Node 43:   1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 2 1 0
 Node 44:   1 0 0 0 0 0 2 0 1 1 0 0 1 0 0 0 0 0 0 0
 Node 45:   1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 2 1 0
 Node 46:   0 2 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 2 1
 Node 47:   0 2 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 1 0 0
 Node 48:   3 0 0 0 1 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0
 Node 49:   2 0 2 0 0 0 1 0 2 1 0 0 2 0 0 0 0 1 0 1
 Node 50:   2 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1
 Node 51:   1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 1 0
 Node 52:   1 0 0 0 0 0 2 0 1 1 0 0 2 0 0 0 0 0 0 0
 Node 53:   1 0 3 0 0 0 0 0 1 1 0 0 0 0 0 0 0 2 1 1
 Node 54:   0 2 3 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 2 1
 Node 55:   0 2 0 0 0 0 0 0 1 1 1 0 2 0 0 0 0 1 0 0
 Node 56:   4 0 0 0 2 0 0 0 1 1 0 3 1 0 0 2 0 0 0 0
 Node 57:   3 0 0 0 3 0 1 0 1 1 0 0 3 0 0 1 0 0 0 0
 Node 58:   2 0 0 0 1 0 2 0 1 1 0 0 1 0 0 0 0 0 0 0
 Node 59:   1 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 2 0 0
 Node 60:   0 0 0 0 2 0 3 0 1 1 0 0 3 0 0 0 0 0 0 0
 Node 61:   0 0 0 0 2 0 0 0 1 1 0 0 1 0 0 1 0 1 0 0
 Node 62:   0 1 0 0 2 0 1 0 1 1 0 0 1 0 0 1 0 0 0 0
 Node 63:   0 2 0 0 2 0 0 0 1 1 0 0 3 0 0 0 0 3 0 0
 Node 64:   4 0 1 0 1 0 0 0 1 1 0 3 0 0 0 0 0 0 0 0
 Node 65:   3 0 1 0 4 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 66:   2 0 1 0 3 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 67:   1 0 1 0 3 0 0 0 1 1 0 0 0 0 0 0 0 2 0 0
 Node 68:   0 0 1 0 3 0 3 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 69:   0 0 1 0 4 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0
 Node 70:   0 1 1 0 4 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 71:   0 2 1 0 3 0 0 0 1 1 0 0 0 0 0 0 0 3 0 0
 Node 72:   3 0 1 1 1 1 1 0 1 1 0 1 0 0 0 0 0 0 0 0
 Node 73:   3 1 3 0 0 2 0 0 3 1 0 0 0 0 0 0 0 2 0 2
 Node 74:   3 0 2 1 0 2 2 0 0 0 0 0 0 0 0 0 0 0 1 1
 Node 75:   1 0 2 1 0 1 0 0 0 1 0 0 0 0 0 0 0 2 1 0
 Node 76:   1 0 2 1 0 1 2 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 77:   1 0 3 1 0 1 0 0 2 1 0 0 0 0 0 0 0 3 1 2
