ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 128
 path_based renewable label = 192


 (east, west, south, north, front, back, out, in, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), front, back, out, in, from host(vch2)0,.. to host(vch2)0,..
 Node  0:   128 0 128 0 128 0 128 0 127 127 0 64 0 64 0 64 0 64 128 128
 Node  1:   192 128 128 0 128 0 128 0 128 128 0 0 0 64 0 64 0 64 127 127
 Node  2:   128 192 128 0 128 0 128 0 127 127 0 0 0 64 0 64 0 64 128 128
 Node  3:   0 128 128 0 128 0 128 0 128 128 64 0 0 64 0 64 0 64 127 127
 Node  4:   128 0 192 128 128 0 128 0 127 127 0 64 0 0 0 64 0 64 128 128
 Node  5:   192 128 192 128 128 0 128 0 128 128 0 0 0 0 0 64 0 64 127 127
 Node  6:   128 192 192 128 128 0 128 0 127 127 0 0 0 0 0 64 0 64 128 128
 Node  7:   0 128 192 128 128 0 128 0 128 128 64 0 0 0 0 64 0 64 127 127
 Node  8:   128 0 128 192 128 0 128 0 127 127 0 64 0 0 0 64 0 64 128 128
 Node  9:   192 128 128 192 128 0 128 0 128 128 0 0 0 0 0 64 0 64 127 127
 Node 10:   128 192 128 192 128 0 128 0 127 127 0 0 0 0 0 64 0 64 128 128
 Node 11:   0 128 128 192 128 0 128 0 128 128 64 0 0 0 0 64 0 64 127 127
 Node 12:   128 0 0 128 128 0 128 0 127 127 0 64 64 0 0 64 0 64 128 128
 Node 13:   192 128 0 128 128 0 128 0 128 128 0 0 64 0 0 64 0 64 127 127
 Node 14:   128 192 0 128 128 0 128 0 127 127 0 0 64 0 0 64 0 64 128 128
 Node 15:   0 128 0 128 128 0 128 0 128 128 64 0 64 0 0 64 0 64 127 127
 Node 16:   128 0 128 0 192 128 128 0 127 127 0 64 0 64 0 0 0 64 128 128
 Node 17:   192 128 128 0 192 128 128 0 128 128 0 0 0 64 0 0 0 64 127 127
 Node 18:   128 192 128 0 192 128 128 0 127 127 0 0 0 64 0 0 0 64 128 128
 Node 19:   0 128 128 0 192 128 128 0 128 128 64 0 0 64 0 0 0 64 127 127
 Node 20:   128 0 192 128 192 128 128 0 127 127 0 64 0 0 0 0 0 64 128 128
 Node 21:   192 128 192 128 192 128 128 0 128 128 0 0 0 0 0 0 0 64 127 127
 Node 22:   128 192 192 128 192 128 128 0 127 127 0 0 0 0 0 0 0 64 128 128
 Node 23:   0 128 192 128 192 128 128 0 128 128 64 0 0 0 0 0 0 64 127 127
 Node 24:   128 0 128 192 192 128 128 0 127 127 0 64 0 0 0 0 0 64 128 128
 Node 25:   192 128 128 192 192 128 128 0 128 128 0 0 0 0 0 0 0 64 127 127
 Node 26:   128 192 128 192 192 128 128 0 127 127 0 0 0 0 0 0 0 64 128 128
 Node 27:   0 128 128 192 192 128 128 0 128 128 64 0 0 0 0 0 0 64 127 127
 Node 28:   128 0 0 128 192 128 128 0 127 127 0 64 64 0 0 0 0 64 128 128
 Node 29:   192 128 0 128 192 128 128 0 128 128 0 0 64 0 0 0 0 64 127 127
 Node 30:   128 192 0 128 192 128 128 0 127 127 0 0 64 0 0 0 0 64 128 128
 Node 31:   0 128 0 128 192 128 128 0 128 128 64 0 64 0 0 0 0 64 127 127
 Node 32:   128 0 128 0 128 192 128 0 127 127 0 64 0 64 0 0 0 64 128 128
 Node 33:   192 128 128 0 128 192 128 0 128 128 0 0 0 64 0 0 0 64 127 127
 Node 34:   128 192 128 0 128 192 128 0 127 127 0 0 0 64 0 0 0 64 128 128
 Node 35:   0 128 128 0 128 192 128 0 128 128 64 0 0 64 0 0 0 64 127 127
 Node 36:   128 0 192 128 128 192 128 0 127 127 0 64 0 0 0 0 0 64 128 128
 Node 37:   192 128 192 128 128 192 128 0 128 128 0 0 0 0 0 0 0 64 127 127
 Node 38:   128 192 192 128 128 192 128 0 127 127 0 0 0 0 0 0 0 64 128 128
 Node 39:   0 128 192 128 128 192 128 0 128 128 64 0 0 0 0 0 0 64 127 127
 Node 40:   128 0 128 192 128 192 128 0 127 127 0 64 0 0 0 0 0 64 128 128
 Node 41:   192 128 128 192 128 192 128 0 128 128 0 0 0 0 0 0 0 64 127 127
 Node 42:   128 192 128 192 128 192 128 0 127 127 0 0 0 0 0 0 0 64 128 128
 Node 43:   0 128 128 192 128 192 128 0 128 128 64 0 0 0 0 0 0 64 127 127
 Node 44:   128 0 0 128 128 192 128 0 127 127 0 64 64 0 0 0 0 64 128 128
 Node 45:   192 128 0 128 128 192 128 0 128 128 0 0 64 0 0 0 0 64 127 127
 Node 46:   128 192 0 128 128 192 128 0 127 127 0 0 64 0 0 0 0 64 128 128
 Node 47:   0 128 0 128 128 192 128 0 128 128 64 0 64 0 0 0 0 64 127 127
 Node 48:   128 0 128 0 0 128 128 0 127 127 0 64 0 64 64 0 0 64 128 128
 Node 49:   192 128 128 0 0 128 128 0 128 128 0 0 0 64 64 0 0 64 127 127
 Node 50:   128 192 128 0 0 128 128 0 127 127 0 0 0 64 64 0 0 64 128 128
 Node 51:   0 128 128 0 0 128 128 0 128 128 64 0 0 64 64 0 0 64 127 127
 Node 52:   128 0 192 128 0 128 128 0 127 127 0 64 0 0 64 0 0 64 128 128
 Node 53:   192 128 192 128 0 128 128 0 128 128 0 0 0 0 64 0 0 64 127 127
 Node 54:   128 192 192 128 0 128 128 0 127 127 0 0 0 0 64 0 0 64 128 128
 Node 55:   0 128 192 128 0 128 128 0 128 128 64 0 0 0 64 0 0 64 127 127
 Node 56:   128 0 128 192 0 128 128 0 127 127 0 64 0 0 64 0 0 64 128 128
 Node 57:   192 128 128 192 0 128 128 0 128 128 0 0 0 0 64 0 0 64 127 127
 Node 58:   128 192 128 192 0 128 128 0 127 127 0 0 0 0 64 0 0 64 128 128
 Node 59:   0 128 128 192 0 128 128 0 128 128 64 0 0 0 64 0 0 64 127 127
 Node 60:   128 0 0 128 0 128 128 0 127 127 0 64 64 0 64 0 0 64 128 128
 Node 61:   192 128 0 128 0 128 128 0 128 128 0 0 64 0 64 0 0 64 127 127
 Node 62:   128 192 0 128 0 128 128 0 127 127 0 0 64 0 64 0 0 64 128 128
 Node 63:   0 128 0 128 0 128 128 0 128 128 64 0 64 0 64 0 0 64 127 127
 Node 64:   128 0 128 0 128 0 192 128 127 127 0 64 0 64 0 64 0 0 128 128
 Node 65:   192 128 128 0 128 0 192 128 128 128 0 0 0 64 0 64 0 0 127 127
