ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 176
 path_based renewable label = 576


 (east, west, south, north, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), from host(vch2)0,.. to host(vch2)0,..
 Node  0:   320 0 320 0 127 127 0 256 0 256 128 128
 Node  1:   384 128 320 0 128 128 0 192 0 256 127 127
 Node  2:   432 240 320 0 127 127 0 144 0 256 128 128
 Node  3:   480 336 320 0 128 128 0 96 0 256 127 127
 Node  4:   512 416 320 0 127 127 0 64 0 256 128 128
 Node  5:   544 480 320 0 128 128 0 32 0 256 127 127
 Node  6:   560 528 320 0 127 127 0 16 0 256 128 128
 Node  7:   576 560 320 0 128 128 0 0 0 256 127 127
 Node  8:   560 576 320 0 127 127 0 0 0 256 128 128
 Node  9:   528 560 320 0 128 128 16 0 0 256 127 127
 Node 10:   480 544 320 0 127 127 32 0 0 256 128 128
 Node 11:   416 512 320 0 128 128 64 0 0 256 127 127
 Node 12:   336 480 320 0 127 127 96 0 0 256 128 128
 Node 13:   240 432 320 0 128 128 144 0 0 256 127 127
 Node 14:   128 384 320 0 127 127 192 0 0 256 128 128
 Node 15:   0 320 320 0 128 128 256 0 0 256 127 127
 Node 16:   320 0 384 128 127 127 0 256 0 192 128 128
 Node 17:   384 128 384 128 128 128 0 192 0 192 127 127
 Node 18:   432 240 384 128 127 127 0 144 0 192 128 128
 Node 19:   480 336 384 128 128 128 0 96 0 192 127 127
 Node 20:   512 416 384 128 127 127 0 64 0 192 128 128
 Node 21:   544 480 384 128 128 128 0 32 0 192 127 127
 Node 22:   560 528 384 128 127 127 0 16 0 192 128 128
 Node 23:   576 560 384 128 128 128 0 0 0 192 127 127
 Node 24:   560 576 384 128 127 127 0 0 0 192 128 128
 Node 25:   528 560 384 128 128 128 16 0 0 192 127 127
 Node 26:   480 544 384 128 127 127 32 0 0 192 128 128
 Node 27:   416 512 384 128 128 128 64 0 0 192 127 127
 Node 28:   336 480 384 128 127 127 96 0 0 192 128 128
 Node 29:   240 432 384 128 128 128 144 0 0 192 127 127
 Node 30:   128 384 384 128 127 127 192 0 0 192 128 128
 Node 31:   0 320 384 128 128 128 256 0 0 192 127 127
 Node 32:   320 0 432 240 127 127 0 256 0 144 128 128
 Node 33:   384 128 432 240 128 128 0 192 0 144 127 127
 Node 34:   432 240 432 240 127 127 0 144 0 144 128 128
 Node 35:   480 336 432 240 128 128 0 96 0 144 127 127
 Node 36:   512 416 432 240 127 127 0 64 0 144 128 128
 Node 37:   544 480 432 240 128 128 0 32 0 144 127 127
 Node 38:   560 528 432 240 127 127 0 16 0 144 128 128
 Node 39:   576 560 432 240 128 128 0 0 0 144 127 127
 Node 40:   560 576 432 240 127 127 0 0 0 144 128 128
 Node 41:   528 560 432 240 128 128 16 0 0 144 127 127
 Node 42:   480 544 432 240 127 127 32 0 0 144 128 128
 Node 43:   416 512 432 240 128 128 64 0 0 144 127 127
 Node 44:   336 480 432 240 127 127 96 0 0 144 128 128
 Node 45:   240 432 432 240 128 128 144 0 0 144 127 127
 Node 46:   128 384 432 240 127 127 192 0 0 144 128 128
 Node 47:   0 320 432 240 128 128 256 0 0 144 127 127
 Node 48:   320 0 480 336 127 127 0 256 0 96 128 128
 Node 49:   384 128 480 336 128 128 0 192 0 96 127 127
