ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 16
 path_based renewable label = 16


 (east, west, south, north, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), from host(vch2)0,.. to host(vch2)0,..
 Node  0:   2 0 6 0 0 0 0 3 0 0 1 1
 Node  1:   2 1 0 0 1 1 0 2 0 0 0 0
 Node  2:   2 0 6 0 0 0 0 2 0 0 1 1
 Node  3:   2 1 0 0 1 1 0 1 0 5 0 0
 Node  4:   2 0 1 0 0 0 0 2 0 0 1 1
 Node  5:   1 1 0 0 1 1 0 1 0 5 0 0
 Node  6:   1 0 6 0 0 0 0 1 0 0 1 1
 Node  7:   1 1 0 0 1 1 0 0 0 0 0 0
 Node  8:   2 0 11 0 0 0 0 0 0 0 1 1
 Node  9:   2 1 0 0 1 1 0 0 0 5 0 0
 Node 10:   3 1 6 0 0 0 0 0 0 0 1 1
 Node 11:   2 2 0 0 1 1 0 0 0 10 0 0
 Node 12:   3 2 6 0 0 0 0 0 0 0 1 1
 Node 13:   3 3 0 0 1 1 0 0 0 5 0 0
 Node 14:   4 3 11 0 0 0 0 0 0 0 1 1
 Node 15:   4 4 0 0 1 1 0 0 0 5 0 0
 Node 16:   4 4 6 0 0 0 0 0 0 0 1 1
 Node 17:   3 4 0 0 1 1 0 0 0 10 0 0
 Node 18:   3 4 6 0 0 0 0 0 0 0 1 1
 Node 19:   2 4 0 0 1 1 0 0 0 5 0 0
 Node 20:   2 3 11 0 0 0 0 0 0 0 1 1
 Node 21:   1 3 0 0 1 1 0 0 0 5 0 0
 Node 22:   1 2 6 0 0 0 0 0 0 0 1 1
 Node 23:   0 2 0 0 1 1 0 0 0 10 0 0
 Node 24:   0 2 1 0 0 0 1 0 0 0 1 1
 Node 25:   0 3 0 0 1 1 0 0 0 5 0 0
 Node 26:   0 2 6 0 0 0 1 0 0 0 1 1
 Node 27:   0 3 0 0 1 1 1 0 0 0 0 0
 Node 28:   0 2 6 0 0 0 2 0 0 0 1 1
 Node 29:   0 3 0 0 1 1 2 0 0 5 0 0
