ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 8
 path_based renewable label = 8


 (east, west, south, north, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), from host(vch2)0,.. to host(vch2)0,..
 Node  0:   1 0 3 0 0 0 0 2 0 0 1 1
 Node  1:   1 1 0 0 1 1 0 1 0 0 0 0
 Node  2:   1 0 3 0 0 0 0 1 0 0 1 1
 Node  3:   0 1 0 0 1 1 0 0 0 3 0 0
 Node  4:   1 0 3 0 0 0 0 0 0 0 1 1
 Node  5:   1 1 0 0 1 1 0 0 0 3 0 0
 Node  6:   2 1 5 0 0 0 0 0 0 0 1 1
 Node  7:   2 2 0 0 1 1 0 0 0 3 0 0
 Node  8:   2 2 3 0 0 0 0 0 0 0 1 1
 Node  9:   1 2 0 0 1 1 0 0 0 6 0 0
 Node 10:   1 2 3 0 0 0 0 0 0 0 1 1
 Node 11:   0 2 0 0 1 1 0 0 0 3 0 0
 Node 12:   0 1 3 0 0 0 1 0 0 0 1 1
 Node 13:   0 2 0 0 1 1 0 0 0 3 0 0
 Node 14:   0 1 1 0 0 0 1 0 0 0 1 1
 Node 15:   0 2 0 0 1 1 1 0 0 3 0 0
 Node 16:   1 0 4 0 0 0 0 2 0 0 1 1
 Node 17:   1 1 0 1 1 1 0 1 0 0 0 0
 Node 18:   1 0 4 0 0 0 0 1 0 0 1 1
 Node 19:   0 1 0 1 1 1 0 0 0 2 0 0
 Node 20:   1 0 4 0 0 0 0 0 0 0 1 1
 Node 21:   1 1 0 1 1 1 0 0 0 2 0 0
 Node 22:   2 1 6 0 0 0 0 0 0 0 1 1
 Node 23:   2 2 0 1 1 1 0 0 0 2 0 0
 Node 24:   2 2 4 0 0 0 0 0 0 0 1 1
 Node 25:   1 2 0 1 1 1 0 0 0 4 0 0
 Node 26:   1 2 4 0 0 0 0 0 0 0 1 1
 Node 27:   0 2 0 1 1 1 0 0 0 2 0 0
 Node 28:   0 1 4 0 0 0 1 0 0 0 1 1
 Node 29:   0 2 0 1 1 1 0 0 0 2 0 0
 Node 30:   0 1 2 0 0 0 1 0 0 0 1 1
 Node 31:   0 2 0 1 1 1 1 0 0 2 0 0
 Node 32:   1 0 5 0 0 0 0 2 0 0 1 1
 Node 33:   1 1 0 2 1 1 0 1 0 0 0 0
 Node 34:   1 0 5 0 0 0 0 1 0 0 1 1
 Node 35:   0 1 0 2 1 1 0 0 0 1 0 0
 Node 36:   1 0 5 0 0 0 0 0 0 0 1 1
 Node 37:   1 1 0 2 1 1 0 0 0 1 0 0
 Node 38:   2 1 7 0 0 0 0 0 0 0 1 1
 Node 39:   2 2 0 2 1 1 0 0 0 1 0 0
 Node 40:   2 2 5 0 0 0 0 0 0 0 1 1
 Node 41:   1 2 0 2 1 1 0 0 0 2 0 0
 Node 42:   1 2 5 0 0 0 0 0 0 0 1 1
 Node 43:   0 2 0 2 1 1 0 0 0 1 0 0
 Node 44:   0 1 5 0 0 0 1 0 0 0 1 1
 Node 45:   0 2 0 2 1 1 0 0 0 1 0 0
 Node 46:   0 1 3 0 0 0 1 0 0 0 1 1
 Node 47:   0 2 0 2 1 1 1 0 0 1 0 0
 Node 48:   1 0 5 0 0 0 0 2 0 0 1 1
 Node 49:   1 1 0 3 1 1 0 1 0 0 0 0
 Node 50:   1 0 5 0 0 0 0 1 0 0 1 1
 Node 51:   0 1 0 3 1 1 0 0 0 1 0 0
 Node 52:   1 0 5 0 0 0 0 0 0 0 1 1
 Node 53:   1 1 0 3 1 1 0 0 0 1 0 0
 Node 54:   2 1 6 0 0 0 0 0 0 0 1 1
 Node 55:   2 2 0 3 1 1 0 0 0 1 0 0
 Node 56:   2 2 5 0 0 0 0 0 0 0 1 1
 Node 57:   1 2 0 3 1 1 0 0 0 2 0 0
 Node 58:   1 2 5 0 0 0 0 0 0 0 1 1
 Node 59:   0 2 0 3 1 1 0 0 0 1 0 0
 Node 60:   0 1 5 0 0 0 1 0 0 0 1 1
 Node 61:   0 2 0 3 1 1 0 0 0 1 0 0
 Node 62:   0 1 4 0 0 0 1 0 0 0 1 1
 Node 63:   0 2 0 3 1 1 1 0 0 1 0 0
 Node 64:   1 0 6 0 0 0 0 2 0 0 1 1
 Node 65:   1 1 0 4 1 1 0 1 0 0 0 0
 Node 66:   1 0 6 0 0 0 0 1 0 0 1 1
 Node 67:   0 1 1 4 1 1 0 0 0 0 0 0
 Node 68:   1 0 6 0 0 0 0 0 0 0 1 1
 Node 69:   1 1 1 4 1 1 0 0 0 0 0 0
 Node 70:   2 1 7 0 0 0 0 0 0 0 1 1
 Node 71:   2 2 1 4 1 1 0 0 0 0 0 0
 Node 72:   2 2 6 0 0 0 0 0 0 0 1 1
 Node 73:   1 2 2 4 1 1 0 0 0 0 0 0
