ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 16
 path_based renewable label = 16


 (east, west, south, north, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), from host(vch2)0,.. to host(vch2)0,..
 Node  0:   5 0 5 0 0 0 0 5 0 5 1 1
 Node  1:   5 0 0 0 1 1 0 5 0 0 0 0
 Node  2:   4 0 5 0 0 0 0 4 0 5 1 1
 Node  3:   4 0 5 0 1 1 0 3 0 5 0 0
 Node  4:   4 0 0 0 0 0 0 3 0 0 1 1
 Node  5:   3 0 5 0 1 1 0 2 0 5 0 0
 Node  6:   3 0 5 0 0 0 0 1 0 5 1 1
 Node  7:   3 0 0 0 1 1 0 1 0 0 0 0
 Node  8:   3 0 10 0 0 0 0 0 0 10 1 1
 Node  9:   4 1 5 0 1 1 0 0 0 5 0 0
 Node 10:   5 2 5 0 0 0 0 0 0 5 1 1
 Node 11:   5 3 10 0 1 1 0 0 0 10 0 0
 Node 12:   6 4 5 0 0 0 0 0 0 5 1 1
 Node 13:   7 5 5 0 1 1 0 0 0 5 0 0
 Node 14:   7 6 10 0 0 0 0 0 0 10 1 1
 Node 15:   8 7 5 0 1 1 0 0 0 5 0 0
 Node 16:   7 8 5 0 0 0 0 0 0 5 1 1
 Node 17:   6 7 10 0 1 1 0 0 0 10 0 0
 Node 18:   5 7 5 0 0 0 0 0 0 5 1 1
 Node 19:   4 6 5 0 1 1 0 0 0 5 0 0
 Node 20:   3 5 10 0 0 0 0 0 0 10 1 1
 Node 21:   2 5 5 0 1 1 0 0 0 5 0 0
 Node 22:   1 4 5 0 0 0 0 0 0 5 1 1
 Node 23:   0 3 10 0 1 1 0 0 0 10 0 0
 Node 24:   0 3 0 0 0 0 1 0 0 0 1 1
 Node 25:   0 3 5 0 1 1 1 0 0 5 0 0
 Node 26:   0 3 5 0 0 0 2 0 0 5 1 1
 Node 27:   0 4 0 0 1 1 3 0 0 0 0 0
 Node 28:   0 4 5 0 0 0 3 0 0 5 1 1
 Node 29:   0 4 5 0 1 1 4 0 0 5 0 0
 Node 30:   0 5 0 0 0 0 5 0 0 0 1 1
 Node 31:   0 5 5 0 1 1 5 0 0 5 0 0
 Node 32:   5 0 5 0 0 0 0 5 0 5 1 1
 Node 33:   5 0 0 0 1 1 0 5 0 0 0 0
 Node 34:   4 0 5 0 0 0 0 4 0 5 1 1
 Node 35:   4 0 5 0 1 1 0 3 0 5 0 0
 Node 36:   4 0 0 0 0 0 0 3 0 0 1 1
 Node 37:   3 0 5 0 1 1 0 2 0 5 0 0
 Node 38:   3 0 5 0 0 0 0 1 0 5 1 1
 Node 39:   3 0 0 0 1 1 0 1 0 0 0 0
 Node 40:   3 0 10 0 0 0 0 0 0 10 1 1
 Node 41:   4 1 5 0 1 1 0 0 0 5 0 0
 Node 42:   5 2 5 0 0 0 0 0 0 5 1 1
 Node 43:   5 3 10 0 1 1 0 0 0 10 0 0
 Node 44:   6 4 5 0 0 0 0 0 0 5 1 1
 Node 45:   7 5 5 0 1 1 0 0 0 5 0 0
 Node 46:   7 6 10 0 0 0 0 0 0 10 1 1
 Node 47:   8 7 5 0 1 1 0 0 0 5 0 0
 Node 48:   7 8 5 0 0 0 0 0 0 5 1 1
 Node 49:   6 7 10 0 1 1 0 0 0 10 0 0
 Node 50:   5 7 5 0 0 0 0 0 0 5 1 1
 Node 51:   4 6 5 0 1 1 0 0 0 5 0 0
 Node 52:   3 5 10 0 0 0 0 0 0 10 1 1
 Node 53:   2 5 5 0 1 1 0 0 0 5 0 0
 Node 54:   1 4 5 0 0 0 0 0 0 5 1 1
 Node 55:   0 3 10 0 1 1 0 0 0 10 0 0
 Node 56:   0 3 0 0 0 0 1 0 0 0 1 1
 Node 57:   0 3 5 0 1 1 1 0 0 5 0 0
 Node 58:   0 3 5 0 0 0 2 0 0 5 1 1
 Node 59:   0 4 0 0 1 1 3 0 0 0 0 0
 Node 60:   0 4 5 0 0 0 3 0 0 5 1 1
 Node 61:   0 4 5 0 1 1 4 0 0 5 0 0
 Node 62:   0 5 0 0 0 0 5 0 0 0 1 1
 Node 63:   0 5 5 0 1 1 5 0 0 5 0 0
 Node 64:   5 0 4 0 0 0 0 5 0 4 1 1
 Node 65:   5 0 0 0 1 1 0 5 0 0 0 0
 Node 66:   4 0 4 0 0 0 0 4 0 4 1 1
 Node 67:   4 0 4 0 1 1 0 3 0 4 0 0
 Node 68:   4 0 0 0 0 0 0 3 0 0 1 1
 Node 69:   3 0 4 0 1 1 0 2 0 4 0 0
 Node 70:   3 0 4 0 0 0 0 1 0 4 1 1
 Node 71:   3 0 0 0 1 1 0 1 0 0 0 0
 Node 72:   3 0 8 0 0 0 0 0 0 8 1 1
 Node 73:   4 1 4 0 1 1 0 0 0 4 0 0
 Node 74:   5 2 4 0 0 0 0 0 0 4 1 1
 Node 75:   5 3 8 0 1 1 0 0 0 8 0 0
 Node 76:   6 4 4 0 0 0 0 0 0 4 1 1
 Node 77:   7 5 4 0 1 1 0 0 0 4 0 0
 Node 78:   7 6 8 0 0 0 0 0 0 8 1 1
 Node 79:   8 7 4 0 1 1 0 0 0 4 0 0
 Node 80:   7 8 4 0 0 0 0 0 0 4 1 1
 Node 81:   6 7 8 0 1 1 0 0 0 8 0 0
 Node 82:   5 7 4 0 0 0 0 0 0 4 1 1
 Node 83:   4 6 4 0 1 1 0 0 0 4 0 0
 Node 84:   3 5 8 0 0 0 0 0 0 8 1 1
 Node 85:   2 5 4 0 1 1 0 0 0 4 0 0
 Node 86:   1 4 4 0 0 0 0 0 0 4 1 1
 Node 87:   0 3 8 0 1 1 0 0 0 8 0 0
 Node 88:   0 3 0 0 0 0 1 0 0 0 1 1
 Node 89:   0 3 4 0 1 1 1 0 0 4 0 0
 Node 90:   0 3 4 0 0 0 2 0 0 4 1 1
 Node 91:   0 4 0 0 1 1 3 0 0 0 0 0
 Node 92:   0 4 4 0 0 0 3 0 0 4 1 1
 Node 93:   0 4 4 0 1 1 4 0 0 4 0 0
 Node 94:   0 5 0 0 0 0 5 0 0 0 1 1
 Node 95:   0 5 4 0 1 1 5 0 0 4 0 0
