ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 32
 path_based renewable label = 32


 (east, west, south, north, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), from host(vch2)0,.. to host(vch2)0,..
 Node  0:   10 0 10 0 0 0 0 11 0 11 1 1
 Node  1:   10 0 0 0 1 1 0 10 0 0 0 0
 Node  2:   10 0 10 0 0 0 0 9 0 11 1 1
 Node  3:   9 0 10 0 1 1 0 9 0 11 0 0
 Node  4:   9 0 0 0 0 0 0 8 0 0 1 1
 Node  5:   9 0 10 0 1 1 0 7 0 11 0 0
 Node  6:   8 0 10 0 0 0 0 7 0 11 1 1
 Node  7:   8 0 0 0 1 1 0 6 0 0 0 0
 Node  8:   8 0 10 0 0 0 0 5 0 11 1 1
 Node  9:   7 0 10 0 1 1 0 5 0 11 0 0
 Node 10:   7 0 0 0 0 0 0 4 0 0 1 1
 Node 11:   7 0 10 0 1 1 0 3 0 11 0 0
 Node 12:   6 0 10 0 0 0 0 3 0 11 1 1
 Node 13:   6 0 0 0 1 1 0 2 0 0 0 0
 Node 14:   6 0 10 0 0 0 0 1 0 11 1 1
 Node 15:   5 0 10 0 1 1 0 1 0 11 0 0
 Node 16:   6 0 10 0 0 0 0 0 0 11 1 1
 Node 17:   7 1 10 0 1 1 0 0 0 11 0 0
 Node 18:   7 2 20 0 0 0 0 0 0 22 1 1
 Node 19:   8 3 10 0 1 1 0 0 0 11 0 0
 Node 20:   9 4 10 0 0 0 0 0 0 11 1 1
 Node 21:   9 5 20 0 1 1 0 0 0 22 0 0
 Node 22:   10 6 10 0 0 0 0 0 0 11 1 1
 Node 23:   11 7 10 0 1 1 0 0 0 11 0 0
 Node 24:   11 8 20 0 0 0 0 0 0 22 1 1
 Node 25:   12 9 10 0 1 1 0 0 0 11 0 0
 Node 26:   13 10 10 0 0 0 0 0 0 11 1 1
 Node 27:   13 11 20 0 1 1 0 0 0 22 0 0
 Node 28:   14 12 10 0 0 0 0 0 0 11 1 1
 Node 29:   15 13 10 0 1 1 0 0 0 11 0 0
 Node 30:   15 14 20 0 0 0 0 0 0 22 1 1
 Node 31:   16 15 10 0 1 1 0 0 0 11 0 0
 Node 32:   15 16 10 0 0 0 0 0 0 11 1 1
 Node 33:   14 15 20 0 1 1 0 0 0 22 0 0
 Node 34:   13 15 10 0 0 0 0 0 0 11 1 1
 Node 35:   12 14 10 0 1 1 0 0 0 11 0 0
 Node 36:   11 13 20 0 0 0 0 0 0 22 1 1
 Node 37:   10 13 10 0 1 1 0 0 0 11 0 0
 Node 38:   9 12 10 0 0 0 0 0 0 11 1 1
 Node 39:   8 11 20 0 1 1 0 0 0 22 0 0
 Node 40:   7 11 10 0 0 0 0 0 0 11 1 1
 Node 41:   6 10 10 0 1 1 0 0 0 11 0 0
 Node 42:   5 9 20 0 0 0 0 0 0 22 1 1
 Node 43:   4 9 10 0 1 1 0 0 0 11 0 0
 Node 44:   3 8 10 0 0 0 0 0 0 11 1 1
 Node 45:   2 7 20 0 1 1 0 0 0 22 0 0
 Node 46:   1 7 10 0 0 0 0 0 0 11 1 1
 Node 47:   0 6 10 0 1 1 0 0 0 11 0 0
 Node 48:   0 5 10 0 0 0 1 0 0 11 1 1
 Node 49:   0 6 10 0 1 1 1 0 0 11 0 0
 Node 50:   0 6 0 0 0 0 2 0 0 0 1 1
 Node 51:   0 6 10 0 1 1 3 0 0 11 0 0
 Node 52:   0 7 10 0 0 0 3 0 0 11 1 1
 Node 53:   0 7 0 0 1 1 4 0 0 0 0 0
 Node 54:   0 7 10 0 0 0 5 0 0 11 1 1
 Node 55:   0 8 10 0 1 1 5 0 0 11 0 0
 Node 56:   0 8 0 0 0 0 6 0 0 0 1 1
 Node 57:   0 8 10 0 1 1 7 0 0 11 0 0
 Node 58:   0 9 10 0 0 0 7 0 0 11 1 1
 Node 59:   0 9 0 0 1 1 8 0 0 0 0 0
 Node 60:   0 9 10 0 0 0 9 0 0 11 1 1
 Node 61:   0 10 10 0 1 1 9 0 0 11 0 0
 Node 62:   0 10 0 0 0 0 10 0 0 0 1 1
 Node 63:   0 10 10 0 1 1 11 0 0 11 0 0
 Node 64:   10 0 10 0 0 0 0 11 0 10 1 1
 Node 65:   10 0 0 0 1 1 0 10 0 0 0 0
 Node 66:   10 0 10 0 0 0 0 9 0 10 1 1
 Node 67:   9 0 10 0 1 1 0 9 0 10 0 0
 Node 68:   9 0 0 0 0 0 0 8 0 0 1 1
 Node 69:   9 0 10 0 1 1 0 7 0 10 0 0
 Node 70:   8 0 10 0 0 0 0 7 0 10 1 1
 Node 71:   8 0 0 0 1 1 0 6 0 0 0 0
 Node 72:   8 0 10 0 0 0 0 5 0 10 1 1
 Node 73:   7 0 10 0 1 1 0 5 0 10 0 0
 Node 74:   7 0 0 0 0 0 0 4 0 0 1 1
 Node 75:   7 0 10 0 1 1 0 3 0 10 0 0
 Node 76:   6 0 10 0 0 0 0 3 0 10 1 1
 Node 77:   6 0 0 0 1 1 0 2 0 0 0 0
 Node 78:   6 0 10 0 0 0 0 1 0 10 1 1
 Node 79:   5 0 10 0 1 1 0 1 0 10 0 0
 Node 80:   6 0 10 0 0 0 0 0 0 10 1 1
 Node 81:   7 1 10 0 1 1 0 0 0 10 0 0
 Node 82:   7 2 20 0 0 0 0 0 0 20 1 1
 Node 83:   8 3 10 0 1 1 0 0 0 10 0 0
 Node 84:   9 4 10 0 0 0 0 0 0 10 1 1
 Node 85:   9 5 20 0 1 1 0 0 0 20 0 0
 Node 86:   10 6 10 0 0 0 0 0 0 10 1 1
 Node 87:   11 7 10 0 1 1 0 0 0 10 0 0
 Node 88:   11 8 20 0 0 0 0 0 0 20 1 1
 Node 89:   12 9 10 0 1 1 0 0 0 10 0 0
 Node 90:   13 10 10 0 0 0 0 0 0 10 1 1
 Node 91:   13 11 20 0 1 1 0 0 0 20 0 0
