ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 18
 path_based renewable label = 18


 (east, west, south, north, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), from host(vch2)0,.. to host(vch2)0,..
 Node  0:   1 0 3 0 0 0 0 8 0 2 1 1
 Node  1:   1 0 2 0 0 0 0 7 0 3 1 1
 Node  2:   1 0 3 0 0 0 0 7 0 3 1 1
 Node  3:   1 0 3 0 0 0 0 6 0 2 1 1
 Node  4:   1 0 3 0 0 0 0 6 0 2 1 1
 Node  5:   1 0 3 0 0 0 0 5 0 3 1 1
 Node  6:   1 0 4 0 0 0 0 5 0 1 1 1
 Node  7:   1 0 3 0 0 0 0 4 0 2 1 1
 Node  8:   1 0 4 0 0 0 0 4 0 2 1 1
 Node  9:   1 0 3 0 0 0 0 3 0 1 1 1
 Node 10:   1 0 3 0 0 0 0 3 0 1 1 1
 Node 11:   1 0 2 0 0 0 0 2 0 2 1 1
 Node 12:   1 0 2 0 0 0 0 2 0 0 1 1
 Node 13:   1 0 1 0 0 0 0 1 0 1 1 1
 Node 14:   0 0 1 0 0 0 0 1 0 1 1 1
 Node 15:   1 0 0 0 0 0 0 0 0 0 1 1
 Node 16:   2 0 0 0 0 0 0 0 0 0 1 1
 Node 17:   3 0 1 0 0 0 0 0 0 1 1 1
 Node 18:   4 1 0 0 0 0 0 0 0 1 1 1
 Node 19:   5 1 0 0 0 0 0 0 0 2 1 1
 Node 20:   6 2 2 0 0 0 0 0 0 2 1 1
 Node 21:   7 2 0 0 0 0 0 0 0 3 1 1
 Node 22:   8 3 1 0 0 0 0 0 0 3 1 1
 Node 23:   9 3 2 0 0 0 0 0 0 4 1 1
 Node 24:   10 4 1 0 0 0 0 0 0 4 1 1
 Node 25:   11 4 1 0 0 0 0 0 0 4 1 1
 Node 26:   12 5 3 0 0 0 0 0 0 3 1 1
 Node 27:   13 5 1 0 0 0 0 0 0 4 1 1
 Node 28:   14 6 2 0 0 0 0 0 0 3 1 1
 Node 29:   15 6 3 0 0 0 0 0 0 3 1 1
 Node 30:   16 7 2 0 0 0 0 0 0 3 1 1
 Node 31:   0 7 18 0 1 1 1 0 0 3 0 0
 Node 32:   1 0 2 0 1 1 0 7 0 3 0 0
 Node 33:   1 0 2 0 1 1 0 7 0 2 0 0
 Node 34:   1 0 3 0 1 1 0 6 0 3 0 0
 Node 35:   1 0 2 0 1 1 0 6 0 2 0 0
 Node 36:   1 0 3 0 1 1 0 5 0 2 0 0
 Node 37:   1 0 3 0 1 1 0 5 0 2 0 0
 Node 38:   1 0 3 0 1 1 0 4 0 2 0 0
 Node 39:   1 0 3 0 1 1 0 4 0 1 0 0
 Node 40:   1 0 4 0 1 1 0 3 0 2 0 0
 Node 41:   1 0 3 0 1 1 0 3 0 1 0 0
 Node 42:   1 0 3 0 1 1 0 2 0 1 0 0
 Node 43:   0 0 2 0 1 1 0 2 0 1 0 0
 Node 44:   0 0 2 0 1 1 0 1 0 1 0 0
 Node 45:   0 0 1 0 1 1 0 1 0 0 0 0
 Node 46:   1 0 1 0 1 1 0 0 0 0 0 0
 Node 47:   2 0 0 1 1 1 0 0 0 0 0 0
 Node 48:   3 0 0 1 1 1 0 0 0 0 0 0
 Node 49:   4 0 1 1 1 1 0 0 0 0 0 0
 Node 50:   5 0 0 1 1 1 0 0 0 1 0 0
 Node 51:   6 1 0 1 1 1 0 0 0 1 0 0
 Node 52:   7 1 1 1 1 1 0 0 0 2 0 0
 Node 53:   8 2 0 1 1 1 0 0 0 2 0 0
 Node 54:   9 2 1 1 1 1 0 0 0 3 0 0
 Node 55:   10 3 1 1 1 1 0 0 0 3 0 0
 Node 56:   11 3 1 1 1 1 0 0 0 4 0 0
 Node 57:   12 4 1 1 1 1 0 0 0 3 0 0
 Node 58:   13 4 2 1 1 1 0 0 0 4 0 0
 Node 59:   14 5 1 1 1 1 0 0 0 3 0 0
 Node 60:   15 5 2 1 1 1 0 0 0 3 0 0
 Node 61:   16 6 2 1 1 1 0 0 0 3 0 0
 Node 62:   0 6 18 1 0 0 1 0 0 3 1 1
 Node 63:   0 8 17 0 1 1 1 0 0 3 0 0
 Node 64:   1 0 2 0 0 0 0 7 0 2 1 1
 Node 65:   1 0 2 0 0 0 0 6 0 2 1 1
 Node 66:   1 0 2 0 0 0 0 6 0 3 1 1
 Node 67:   1 0 2 0 0 0 0 5 0 2 1 1
 Node 68:   1 0 3 0 0 0 0 5 0 1 1 1
 Node 69:   1 0 2 0 0 0 0 4 0 3 1 1
 Node 70:   1 0 3 0 0 0 0 4 0 1 1 1
 Node 71:   1 0 3 0 0 0 0 3 0 1 1 1
 Node 72:   0 0 3 0 0 0 0 3 0 2 1 1
 Node 73:   0 0 3 0 0 0 0 2 0 1 1 1
 Node 74:   0 0 3 0 0 0 0 2 0 0 1 1
 Node 75:   0 0 2 0 0 0 0 1 0 1 1 1
 Node 76:   0 0 2 0 0 0 0 1 0 0 1 1
 Node 77:   1 0 1 0 0 0 0 0 0 0 1 1
 Node 78:   2 0 1 1 0 0 0 0 0 0 1 1
 Node 79:   3 0 0 2 0 0 0 0 0 0 1 1
 Node 80:   4 0 0 2 0 0 0 0 0 0 1 1
 Node 81:   5 0 1 2 0 0 0 0 0 0 1 1
 Node 82:   6 0 0 2 0 0 0 0 0 0 1 1
 Node 83:   7 0 0 2 0 0 0 0 0 1 1 1
 Node 84:   8 1 1 2 0 0 0 0 0 1 1 1
 Node 85:   9 1 0 2 0 0 0 0 0 2 1 1
 Node 86:   10 2 0 2 0 0 0 0 0 2 1 1
 Node 87:   11 2 1 2 0 0 0 0 0 3 1 1
 Node 88:   12 3 1 2 0 0 0 0 0 3 1 1
 Node 89:   13 3 0 2 0 0 0 0 0 4 1 1
 Node 90:   14 4 2 2 0 0 0 0 0 3 1 1
 Node 91:   15 4 1 2 0 0 0 0 0 3 1 1
 Node 92:   16 5 1 2 0 0 0 0 0 3 1 1
 Node 93:   0 5 17 2 1 1 1 0 0 3 0 0
 Node 94:   0 8 17 0 0 0 1 0 0 2 1 1
 Node 95:   0 7 15 0 0 0 1 0 0 4 1 1
 Node 96:   1 0 2 0 1 1 0 6 0 2 0 0
 Node 97:   1 0 1 0 1 1 0 6 0 2 0 0
 Node 98:   1 0 2 0 1 1 0 5 0 3 0 0
 Node 99:   1 0 2 0 1 1 0 5 0 1 0 0
 Node 100:   1 0 2 0 1 1 0 4 0 2 0 0
 Node 101:   0 0 2 0 1 1 0 4 0 2 0 0
 Node 102:   0 0 3 0 1 1 0 3 0 1 0 0
 Node 103:   0 0 2 0 1 1 0 3 0 1 0 0
 Node 104:   0 0 3 0 1 1 0 2 0 1 0 0
 Node 105:   0 0 3 0 1 1 0 2 0 0 0 0
 Node 106:   0 0 3 0 1 1 0 1 0 1 0 0
 Node 107:   0 0 2 0 1 1 0 1 0 0 0 0
 Node 108:   1 0 2 0 1 1 0 0 0 0 0 0
 Node 109:   2 0 1 1 1 1 0 0 0 0 0 0
 Node 110:   3 0 1 2 1 1 0 0 0 0 0 0
 Node 111:   4 0 0 3 1 1 0 0 0 0 0 0
 Node 112:   5 0 0 3 1 1 0 0 0 0 0 0
 Node 113:   6 0 1 3 1 1 0 0 0 0 0 0
 Node 114:   7 0 0 3 1 1 0 0 0 0 0 0
 Node 115:   8 0 0 3 1 1 0 0 0 0 0 0
 Node 116:   9 0 1 3 1 1 0 0 0 1 0 0
 Node 117:   10 1 0 3 1 1 0 0 0 1 0 0
 Node 118:   11 1 0 3 1 1 0 0 0 2 0 0
 Node 119:   12 2 1 3 1 1 0 0 0 2 0 0
 Node 120:   13 2 0 3 1 1 0 0 0 3 0 0
 Node 121:   14 3 0 3 1 1 0 0 0 3 0 0
 Node 122:   15 3 2 3 1 1 0 0 0 3 0 0
 Node 123:   16 4 0 3 1 1 0 0 0 3 0 0
 Node 124:   0 4 17 3 0 0 1 0 0 3 1 1
 Node 125:   0 8 16 0 1 1 1 0 0 2 0 0
 Node 126:   0 7 15 0 1 1 1 0 0 3 0 0
 Node 127:   0 7 14 0 1 1 1 0 0 3 0 0
 Node 128:   1 0 1 0 0 0 0 6 0 2 1 1
 Node 129:   1 0 1 0 0 0 0 5 0 2 1 1
 Node 130:   0 0 2 0 0 0 0 5 0 2 1 1
 Node 131:   0 0 1 0 0 0 0 4 0 2 1 1
 Node 132:   0 0 2 0 0 0 0 4 0 1 1 1
 Node 133:   0 0 2 0 0 0 0 3 0 1 1 1
 Node 134:   0 0 2 0 0 0 0 3 0 1 1 1
 Node 135:   0 0 2 0 0 0 0 2 0 1 1 1
 Node 136:   0 0 3 0 0 0 0 2 0 0 1 1
 Node 137:   0 0 2 0 0 0 0 1 0 1 1 1
 Node 138:   0 0 3 0 0 0 0 1 0 0 1 1
 Node 139:   1 0 2 0 0 0 0 0 0 0 1 1
 Node 140:   2 0 2 1 0 0 0 0 0 0 1 1
 Node 141:   3 0 1 2 0 0 0 0 0 0 1 1
 Node 142:   4 0 1 3 0 0 0 0 0 0 1 1
 Node 143:   5 0 0 4 0 0 0 0 0 0 1 1
 Node 144:   6 0 0 4 0 0 0 0 0 0 1 1
 Node 145:   7 0 1 4 0 0 0 0 0 0 1 1
 Node 146:   8 0 0 4 0 0 0 0 0 0 1 1
 Node 147:   9 0 0 4 0 0 0 0 0 0 1 1
 Node 148:   10 0 1 4 0 0 0 0 0 0 1 1
 Node 149:   11 0 0 4 0 0 0 0 0 1 1 1
 Node 150:   12 1 0 4 0 0 0 0 0 1 1 1
 Node 151:   13 1 1 4 0 0 0 0 0 2 1 1
 Node 152:   14 2 0 4 0 0 0 0 0 2 1 1
 Node 153:   15 2 0 4 0 0 0 0 0 3 1 1
 Node 154:   16 3 1 4 0 0 0 0 0 3 1 1
 Node 155:   0 3 16 4 1 1 1 0 0 3 0 0
 Node 156:   0 8 16 0 0 0 1 0 0 3 1 1
 Node 157:   0 7 14 0 0 0 1 0 0 3 1 1
 Node 158:   0 7 14 0 0 0 1 0 0 2 1 1
 Node 159:   0 6 13 0 0 0 1 0 0 3 1 1
 Node 160:   0 0 1 0 1 1 0 5 0 2 0 0
 Node 161:   0 0 1 0 1 1 0 5 0 1 0 0
 Node 162:   0 0 1 0 1 1 0 4 0 2 0 0
 Node 163:   0 0 1 0 1 1 0 4 0 1 0 0
 Node 164:   0 0 2 0 1 1 0 3 0 1 0 0
 Node 165:   0 0 1 0 1 1 0 3 0 1 0 0
 Node 166:   0 0 2 0 1 1 0 2 0 1 0 0
 Node 167:   0 0 2 0 1 1 0 2 0 0 0 0
 Node 168:   0 0 2 0 1 1 0 1 0 1 0 0
 Node 169:   0 0 2 0 1 1 0 1 0 0 0 0
 Node 170:   1 0 3 0 1 1 0 0 0 0 0 0
 Node 171:   2 0 2 1 1 1 0 0 0 0 0 0
 Node 172:   3 0 2 2 1 1 0 0 0 0 0 0
 Node 173:   4 0 1 3 1 1 0 0 0 0 0 0
 Node 174:   5 0 1 4 1 1 0 0 0 0 0 0
 Node 175:   6 0 0 5 1 1 0 0 0 0 0 0
 Node 176:   7 0 0 5 1 1 0 0 0 0 0 0
 Node 177:   8 0 1 5 1 1 0 0 0 0 0 0
 Node 178:   9 0 0 5 1 1 0 0 0 0 0 0
 Node 179:   10 0 0 5 1 1 0 0 0 0 0 0
 Node 180:   11 0 1 5 1 1 0 0 0 0 0 0
 Node 181:   12 0 0 5 1 1 0 0 0 0 0 0
 Node 182:   13 0 0 5 1 1 0 0 0 1 0 0
 Node 183:   14 1 1 5 1 1 0 0 0 1 0 0
 Node 184:   15 1 0 5 1 1 0 0 0 2 0 0
 Node 185:   16 2 0 5 1 1 0 0 0 2 0 0
 Node 186:   0 2 16 5 0 0 1 0 0 3 1 1
 Node 187:   0 8 15 0 1 1 1 0 0 2 0 0
 Node 188:   0 7 14 0 1 1 1 0 0 4 0 0
 Node 189:   0 7 13 0 1 1 1 0 0 2 0 0
 Node 190:   0 6 13 0 1 1 1 0 0 2 0 0
 Node 191:   0 6 11 0 1 1 0 0 0 3 0 0
 Node 192:   0 0 1 0 0 0 0 5 0 1 1 1
 Node 193:   0 0 0 0 0 0 0 4 0 2 1 1
 Node 194:   0 0 1 0 0 0 0 4 0 1 1 1
 Node 195:   0 0 1 0 0 0 0 3 0 1 1 1
 Node 196:   0 0 1 0 0 0 0 3 0 1 1 1
 Node 197:   0 0 1 0 0 0 0 2 0 1 1 1
 Node 198:   0 0 2 0 0 0 0 2 0 0 1 1
 Node 199:   0 0 1 0 0 0 0 1 0 1 1 1
 Node 200:   0 0 2 0 0 0 0 1 0 0 1 1
 Node 201:   1 0 2 0 0 0 0 0 0 0 1 1
 Node 202:   2 0 2 1 0 0 0 0 0 0 1 1
 Node 203:   3 0 2 2 0 0 0 0 0 0 1 1
 Node 204:   4 0 2 3 0 0 0 0 0 0 1 1
 Node 205:   5 0 1 4 0 0 0 0 0 0 1 1
 Node 206:   6 0 1 5 0 0 0 0 0 0 1 1
 Node 207:   7 0 0 6 0 0 0 0 0 0 1 1
 Node 208:   8 0 0 6 0 0 0 0 0 0 1 1
 Node 209:   9 0 1 6 0 0 0 0 0 0 1 1
 Node 210:   10 0 0 6 0 0 0 0 0 0 1 1
 Node 211:   11 0 0 6 0 0 0 0 0 0 1 1
 Node 212:   12 0 1 6 0 0 0 0 0 0 1 1
 Node 213:   13 0 0 6 0 0 0 0 0 0 1 1
 Node 214:   14 0 0 6 0 0 0 0 0 0 1 1
 Node 215:   15 0 1 6 0 0 0 0 0 1 1 1
 Node 216:   16 1 0 6 0 0 0 0 0 1 1 1
 Node 217:   0 1 16 6 1 1 1 0 0 2 0 0
 Node 218:   0 8 15 0 0 0 1 0 0 2 1 1
 Node 219:   0 7 14 0 0 0 1 0 0 3 1 1
 Node 220:   0 7 13 0 0 0 0 0 0 3 1 1
 Node 221:   0 6 12 0 0 0 0 0 0 2 1 1
 Node 222:   0 6 11 0 0 0 0 0 0 2 1 1
 Node 223:   0 5 10 0 0 0 0 0 0 2 1 1
 Node 224:   0 0 0 0 1 1 0 4 0 2 0 0
 Node 225:   0 0 0 0 1 1 0 4 0 1 0 0
 Node 226:   0 0 1 0 1 1 0 3 0 1 0 0
 Node 227:   0 0 0 0 1 1 0 3 0 1 0 0
 Node 228:   0 0 1 0 1 1 0 2 0 1 0 0
 Node 229:   0 0 1 0 1 1 0 2 0 0 0 0
 Node 230:   0 0 1 0 1 1 0 1 0 1 0 0
 Node 231:   0 0 1 0 1 1 0 1 0 0 0 0
 Node 232:   1 0 2 0 1 1 0 0 0 0 0 0
 Node 233:   2 0 1 1 1 1 0 0 0 0 0 0
 Node 234:   3 0 2 2 1 1 0 0 0 0 0 0
 Node 235:   4 0 2 3 1 1 0 0 0 0 0 0
 Node 236:   5 0 2 4 1 1 0 0 0 0 0 0
 Node 237:   6 0 1 5 1 1 0 0 0 0 0 0
