ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 9
 path_based renewable label = 9


 (east, west, south, north, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), from host(vch2)0,.. to host(vch2)0,..
 Node  0:   1 0 1 0 0 0 0 4 0 2 1 1
 Node  1:   1 0 1 0 0 0 0 3 0 1 1 1
 Node  2:   1 0 2 0 0 0 0 3 0 1 1 1
 Node  3:   1 0 1 0 0 0 0 2 0 2 1 1
 Node  4:   1 0 2 0 0 0 0 2 0 0 1 1
 Node  5:   1 0 1 0 0 0 0 1 0 1 1 1
 Node  6:   0 0 1 0 0 0 0 1 0 1 1 1
 Node  7:   1 0 0 0 0 0 0 0 0 0 1 1
 Node  8:   2 0 0 0 0 0 0 0 0 0 1 1
 Node  9:   3 0 1 0 0 0 0 0 0 1 1 1
 Node 10:   4 1 0 0 0 0 0 0 0 1 1 1
 Node 11:   5 1 0 0 0 0 0 0 0 2 1 1
 Node 12:   6 2 2 0 0 0 0 0 0 2 1 1
 Node 13:   7 2 0 0 0 0 0 0 0 2 1 1
 Node 14:   8 3 1 0 0 0 0 0 0 1 1 1
 Node 15:   0 3 9 0 1 1 1 0 0 2 0 0
 Node 16:   1 0 1 0 1 1 0 3 0 2 0 0
 Node 17:   1 0 1 0 1 1 0 3 0 1 0 0
 Node 18:   1 0 1 0 1 1 0 2 0 1 0 0
 Node 19:   0 0 1 0 1 1 0 2 0 1 0 0
 Node 20:   0 0 2 0 1 1 0 1 0 1 0 0
 Node 21:   0 0 1 0 1 1 0 1 0 0 0 0
 Node 22:   1 0 1 0 1 1 0 0 0 0 0 0
 Node 23:   2 0 0 1 1 1 0 0 0 0 0 0
 Node 24:   3 0 0 1 1 1 0 0 0 0 0 0
 Node 25:   4 0 1 1 1 1 0 0 0 0 0 0
 Node 26:   5 0 0 1 1 1 0 0 0 1 0 0
 Node 27:   6 1 0 1 1 1 0 0 0 1 0 0
 Node 28:   7 1 1 1 1 1 0 0 0 2 0 0
 Node 29:   8 2 0 1 1 1 0 0 0 1 0 0
 Node 30:   0 2 9 1 0 0 1 0 0 2 1 1
 Node 31:   0 4 7 0 1 1 1 0 0 1 0 0
 Node 32:   0 0 1 0 0 0 0 3 0 2 1 1
 Node 33:   0 0 0 0 0 0 0 2 0 1 1 1
 Node 34:   0 0 1 0 0 0 0 2 0 0 1 1
 Node 35:   0 0 1 0 0 0 0 1 0 1 1 1
 Node 36:   0 0 1 0 0 0 0 1 0 0 1 1
 Node 37:   1 0 1 0 0 0 0 0 0 0 1 1
 Node 38:   2 0 1 1 0 0 0 0 0 0 1 1
 Node 39:   3 0 0 2 0 0 0 0 0 0 1 1
 Node 40:   4 0 0 2 0 0 0 0 0 0 1 1
 Node 41:   5 0 1 2 0 0 0 0 0 0 1 1
 Node 42:   6 0 0 2 0 0 0 0 0 0 1 1
 Node 43:   7 0 0 2 0 0 0 0 0 1 1 1
 Node 44:   8 1 1 2 0 0 0 0 0 1 1 1
 Node 45:   0 1 8 2 1 1 1 0 0 2 0 0
 Node 46:   0 4 7 0 0 0 1 0 0 1 1 1
 Node 47:   0 3 6 0 0 0 1 0 0 1 1 1
 Node 48:   0 0 0 0 1 1 0 2 0 1 0 0
 Node 49:   0 0 0 0 1 1 0 2 0 0 0 0
 Node 50:   0 0 1 0 1 1 0 1 0 1 0 0
 Node 51:   0 0 0 0 1 1 0 1 0 0 0 0
 Node 52:   1 0 1 0 1 1 0 0 0 0 0 0
 Node 53:   2 0 1 1 1 1 0 0 0 0 0 0
 Node 54:   3 0 1 2 1 1 0 0 0 0 0 0
 Node 55:   4 0 0 3 1 1 0 0 0 0 0 0
 Node 56:   5 0 0 3 1 1 0 0 0 0 0 0
 Node 57:   6 0 1 3 1 1 0 0 0 0 0 0
 Node 58:   7 0 0 3 1 1 0 0 0 0 0 0
 Node 59:   8 0 0 3 1 1 0 0 0 0 0 0
 Node 60:   0 0 8 3 0 0 1 0 0 1 1 1
 Node 61:   0 4 7 0 1 1 0 0 0 2 0 0
 Node 62:   0 3 6 0 1 1 0 0 0 1 0 0
 Node 63:   0 3 5 0 1 1 0 0 0 1 0 0
 Node 64:   0 0 0 0 0 0 0 2 0 0 1 1
 Node 65:   0 0 0 0 0 0 0 1 0 1 1 1
 Node 66:   0 0 0 0 0 0 0 1 0 0 1 1
 Node 67:   1 0 0 0 0 0 0 0 0 0 1 1
 Node 68:   2 0 2 1 0 0 0 0 0 0 1 1
 Node 69:   3 1 0 2 0 0 0 0 0 0 1 1
 Node 70:   4 1 1 3 0 0 0 0 0 0 1 1
 Node 71:   5 1 0 4 0 0 0 0 0 0 1 1
 Node 72:   6 1 0 4 0 0 0 0 0 0 1 1
 Node 73:   7 1 1 4 0 0 0 0 0 0 1 1
 Node 74:   8 1 0 4 0 0 0 0 0 0 1 1
 Node 75:   0 1 8 4 1 1 0 0 0 0 0 0
 Node 76:   0 4 7 0 0 0 0 0 0 0 1 1
 Node 77:   0 3 6 0 0 0 0 0 0 1 1 1
 Node 78:   0 3 5 0 0 0 0 0 0 1 1 1
 Node 79:   0 2 4 0 0 0 0 0 0 1 1 1
 Node 80:   0 0 0 0 1 1 0 1 0 1 0 0
 Node 81:   0 0 0 0 1 1 0 1 0 0 0 0
 Node 82:   1 0 0 0 1 1 0 0 0 0 0 0
 Node 83:   2 0 0 1 1 1 0 0 0 0 0 0
 Node 84:   3 0 1 2 1 1 0 0 0 0 0 0
 Node 85:   4 0 1 3 1 1 0 0 0 0 0 0
 Node 86:   5 1 1 4 1 1 0 0 0 0 0 0
 Node 87:   6 1 0 5 1 1 0 0 0 0 0 0
 Node 88:   7 1 0 5 1 1 0 0 0 0 0 0
 Node 89:   8 1 1 5 1 1 0 0 0 0 0 0
 Node 90:   0 1 8 5 0 0 0 0 0 0 1 1
 Node 91:   0 5 7 1 1 1 0 0 0 0 0 0
 Node 92:   0 4 6 0 1 1 0 0 0 0 0 0
 Node 93:   0 3 5 0 1 1 0 0 0 0 0 0
 Node 94:   0 2 4 0 1 1 0 0 0 1 0 0
 Node 95:   0 2 3 0 1 1 0 0 0 0 0 0
 Node 96:   0 0 0 0 0 0 0 1 0 0 1 1
 Node 97:   1 0 0 0 0 0 0 0 0 0 1 1
 Node 98:   2 0 0 1 0 0 0 0 0 0 1 1
 Node 99:   3 0 0 2 0 0 0 0 0 0 1 1
 Node 100:   4 0 1 3 0 0 0 0 0 0 1 1
 Node 101:   5 0 1 4 0 0 0 0 0 0 1 1
 Node 102:   6 0 1 5 0 0 0 0 0 0 1 1
 Node 103:   7 1 0 6 0 0 0 0 0 0 1 1
 Node 104:   8 1 0 6 0 0 0 0 0 0 1 1
 Node 105:   0 1 8 6 1 1 0 0 0 0 0 0
 Node 106:   0 6 7 1 0 0 0 0 0 0 1 1
 Node 107:   0 5 6 1 0 0 0 0 0 0 1 1
 Node 108:   0 4 5 0 0 0 0 0 0 0 1 1
 Node 109:   0 3 4 0 0 0 0 0 0 0 1 1
 Node 110:   0 2 3 0 0 0 0 0 0 0 1 1
 Node 111:   0 1 2 0 0 0 0 0 0 1 1 1
 Node 112:   1 0 0 0 1 1 0 0 0 0 0 0
 Node 113:   2 0 0 1 1 1 0 0 0 0 0 0
 Node 114:   3 0 0 2 1 1 0 0 0 0 0 0
 Node 115:   4 0 0 3 1 1 0 0 0 0 0 0
 Node 116:   5 0 1 4 1 1 0 0 0 0 0 0
 Node 117:   6 0 1 5 1 1 0 0 0 0 0 0
 Node 118:   7 0 1 6 1 1 0 0 0 0 0 0
 Node 119:   8 0 1 7 1 1 0 0 0 0 0 0
 Node 120:   0 1 8 7 0 0 0 0 0 0 1 1
 Node 121:   0 7 7 1 1 1 0 0 0 0 0 0
 Node 122:   0 6 6 1 1 1 0 0 0 0 0 0
 Node 123:   0 5 5 1 1 1 0 0 0 0 0 0
 Node 124:   0 4 4 0 1 1 0 0 0 0 0 0
 Node 125:   0 3 3 0 1 1 0 0 0 0 0 0
 Node 126:   0 2 2 0 1 1 0 0 0 0 0 0
 Node 127:   0 1 1 0 1 1 0 0 0 0 0 0
 Node 128:   1 0 0 1 0 0 0 0 0 0 1 1
 Node 129:   2 0 0 2 0 0 0 0 0 0 1 1
 Node 130:   3 0 0 3 0 0 0 0 0 0 1 1
 Node 131:   4 0 0 4 0 0 0 0 0 0 1 1
 Node 132:   5 0 1 5 0 0 0 0 0 0 1 1
 Node 133:   6 0 1 6 0 0 0 0 0 0 1 1
 Node 134:   7 0 1 7 0 0 0 0 0 0 1 1
 Node 135:   1 0 7 8 1 1 0 0 0 0 0 0
 Node 136:   0 8 7 1 0 0 0 0 0 0 1 1
 Node 137:   0 7 6 1 0 0 0 0 0 0 1 1
 Node 138:   0 6 5 1 0 0 0 0 0 0 1 1
 Node 139:   0 5 4 1 0 0 0 0 0 0 1 1
 Node 140:   0 4 3 0 0 0 0 0 0 0 1 1
 Node 141:   0 3 2 0 0 0 0 0 0 0 1 1
 Node 142:   0 2 1 0 0 0 0 0 0 0 1 1
 Node 143:   0 1 0 0 0 0 0 0 0 0 1 1
 Node 144:   1 0 0 2 1 1 0 0 1 0 0 0
 Node 145:   2 0 0 3 1 1 0 0 0 0 0 0
 Node 146:   3 0 0 4 1 1 0 0 0 0 0 0
 Node 147:   4 0 0 5 1 1 0 0 0 0 0 0
 Node 148:   5 0 1 6 1 1 0 0 0 0 0 0
 Node 149:   6 0 1 7 1 1 0 0 0 0 0 0
 Node 150:   1 0 6 8 0 0 0 0 0 0 1 1
 Node 151:   1 8 6 0 1 1 0 0 0 0 0 0
 Node 152:   1 7 6 0 1 1 0 0 0 0 0 0
 Node 153:   0 6 5 1 1 1 0 0 0 0 0 0
 Node 154:   0 5 4 1 1 1 0 0 0 0 0 0
 Node 155:   0 4 3 1 1 1 0 0 0 0 0 0
 Node 156:   0 3 2 0 1 1 0 0 0 0 0 0
 Node 157:   0 2 1 0 1 1 0 0 0 0 0 0
 Node 158:   0 1 0 0 1 1 0 0 0 0 0 0
 Node 159:   0 0 0 0 1 1 1 0 0 0 0 0
 Node 160:   2 0 0 3 0 0 0 0 0 0 1 1
 Node 161:   2 0 0 4 0 0 0 0 1 0 1 1
 Node 162:   3 0 0 5 0 0 0 0 0 0 1 1
 Node 163:   4 0 0 6 0 0 0 0 0 0 1 1
 Node 164:   5 0 1 7 0 0 0 0 0 0 1 1
 Node 165:   1 0 5 8 1 1 0 0 0 0 0 0
 Node 166:   1 8 5 1 0 0 0 0 0 0 1 1
 Node 167:   1 7 5 0 0 0 0 0 0 0 1 1
 Node 168:   1 6 5 0 0 0 0 0 0 0 1 1
 Node 169:   1 5 4 1 0 0 0 0 0 0 1 1
 Node 170:   0 4 3 1 0 0 0 0 0 0 1 1
 Node 171:   0 3 2 1 0 0 0 0 0 0 1 1
 Node 172:   0 2 1 0 0 0 0 0 0 0 1 1
 Node 173:   0 1 0 0 0 0 0 0 0 0 1 1
 Node 174:   0 0 0 0 0 0 1 0 0 0 1 1
 Node 175:   0 0 0 0 0 0 1 0 1 0 1 1
 Node 176:   2 0 0 4 1 1 0 0 1 0 0 0
 Node 177:   3 0 0 5 1 1 0 0 1 0 0 0
 Node 178:   3 0 0 6 1 1 0 0 1 0 0 0
 Node 179:   4 0 0 7 1 1 0 0 0 0 0 0
 Node 180:   1 0 4 8 0 0 0 0 0 0 1 1
 Node 181:   1 8 4 0 1 1 0 0 0 0 0 0
 Node 182:   1 7 4 1 1 1 0 0 0 0 0 0
 Node 183:   1 6 4 0 1 1 0 0 0 0 0 0
 Node 184:   1 5 4 0 1 1 0 0 0 0 0 0
 Node 185:   1 4 3 1 1 1 0 0 0 0 0 0
 Node 186:   1 3 2 0 1 1 0 0 0 0 0 0
 Node 187:   0 2 1 2 1 1 0 0 0 0 0 0
 Node 188:   0 1 0 0 1 1 0 0 0 0 0 0
 Node 189:   0 0 0 0 1 1 1 0 0 0 0 0
 Node 190:   0 0 0 0 1 1 1 0 1 0 0 0
 Node 191:   0 0 0 0 1 1 2 0 0 0 0 0
 Node 192:   3 0 0 5 0 0 0 0 1 0 1 1
 Node 193:   3 0 0 6 0 0 0 0 1 0 1 1
 Node 194:   4 0 0 7 0 0 0 0 2 0 1 1
 Node 195:   0 0 3 8 1 1 0 1 1 0 0 0
 Node 196:   0 8 3 0 0 0 0 0 0 0 1 1
 Node 197:   0 7 3 0 0 0 0 0 0 0 1 1
 Node 198:   0 6 3 1 0 0 0 0 0 0 1 1
 Node 199:   0 5 3 0 0 0 0 0 0 0 1 1
 Node 200:   0 4 3 0 0 0 0 0 0 0 1 1
 Node 201:   0 3 2 1 0 0 0 0 0 0 1 1
 Node 202:   0 2 1 1 0 0 0 0 0 0 1 1
 Node 203:   0 1 0 1 0 0 0 0 0 0 1 1
 Node 204:   0 0 0 0 0 0 1 0 0 0 1 1
 Node 205:   0 0 0 1 0 0 1 0 1 0 1 1
 Node 206:   0 0 0 0 0 0 2 0 0 0 1 1
 Node 207:   0 0 0 0 0 0 2 0 1 0 1 1
 Node 208:   3 0 0 6 1 1 0 1 1 0 0 0
 Node 209:   4 0 0 7 1 1 0 1 1 0 0 0
 Node 210:   1 0 2 8 0 0 0 1 2 0 1 1
 Node 211:   1 8 2 1 1 1 0 0 1 0 0 0
 Node 212:   0 7 2 0 1 1 0 0 1 0 0 0
 Node 213:   0 6 2 0 1 1 0 0 0 0 0 0
 Node 214:   0 5 2 1 1 1 0 0 0 0 0 0
 Node 215:   0 4 2 0 1 1 0 0 0 0 0 0
 Node 216:   0 3 2 0 1 1 0 0 0 0 0 0
 Node 217:   0 2 1 1 1 1 0 0 0 0 0 0
 Node 218:   0 1 0 1 1 1 0 0 0 0 0 0
 Node 219:   0 0 0 1 1 1 1 0 0 0 0 0
 Node 220:   0 0 0 1 1 1 1 0 1 0 0 0
 Node 221:   0 0 0 1 1 1 2 0 0 0 0 0
 Node 222:   0 0 0 0 1 1 2 0 1 0 0 0
 Node 223:   0 0 0 1 1 1 3 0 2 0 0 0
 Node 224:   4 0 0 7 0 0 0 1 1 0 1 1
 Node 225:   2 0 1 9 1 1 0 1 2 0 0 0
 Node 226:   2 8 1 0 0 0 0 0 1 0 1 1
 Node 227:   1 7 1 1 0 0 0 0 2 0 1 1
 Node 228:   1 6 1 0 0 0 0 0 1 0 1 1
 Node 229:   0 5 1 0 0 0 0 0 1 0 1 1
 Node 230:   0 4 1 1 0 0 0 0 0 0 1 1
 Node 231:   0 3 1 0 0 0 0 0 0 0 1 1
 Node 232:   0 2 1 0 0 0 0 0 0 0 1 1
 Node 233:   0 1 0 1 0 0 0 0 0 0 1 1
 Node 234:   0 0 0 1 0 0 1 0 0 0 1 1
