ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 6
 path_based renewable label = 6


 (east, west, south, north, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), from host(vch2)0,.. to host(vch2)0,..
 Node  0:   2 0 2 0 0 0 0 0 0 0 1 0
 Node  1:   2 0 1 0 1 1 0 0 0 1 0 1
 Node  2:   2 1 0 0 0 1 0 0 0 2 1 1
 Node  3:   2 1 0 0 1 1 0 0 0 0 0 0
 Node  4:   1 1 2 0 1 1 0 0 0 0 0 1
 Node  5:   1 1 1 0 0 0 0 0 0 1 1 0
 Node  6:   2 1 1 0 0 1 0 0 0 0 1 1
 Node  7:   1 2 0 0 1 2 0 0 0 1 0 1
 Node  8:   2 1 0 0 0 1 0 0 0 0 1 1
 Node  9:   1 2 0 0 1 1 0 0 0 0 0 0
 Node 10:   2 1 2 0 0 0 0 0 0 0 1 0
 Node 11:   2 1 0 0 1 2 0 0 0 0 0 0
 Node 12:   1 2 0 0 0 0 0 0 0 0 1 2
 Node 13:   1 2 0 0 1 0 0 0 0 0 0 0
 Node 14:   1 1 0 0 0 1 0 0 0 1 1 1
 Node 15:   1 1 0 0 1 1 0 0 0 0 0 0
 Node 16:   1 1 0 0 0 0 0 0 0 0 1 0
 Node 17:   2 0 0 0 0 0 0 0 0 1 1 0
 Node 18:   2 0 1 0 1 1 0 0 0 0 0 1
 Node 19:   2 0 1 0 1 0 0 0 0 1 0 0
 Node 20:   1 0 1 0 1 0 0 0 0 1 0 1
 Node 21:   1 0 1 0 1 0 0 0 0 1 0 0
 Node 22:   0 0 4 0 1 0 0 0 0 0 0 2
 Node 23:   0 1 0 0 1 0 0 0 0 1 0 1
 Node 24:   0 0 1 0 1 1 0 0 0 1 0 0
 Node 25:   0 0 1 0 0 0 0 0 0 0 1 0
 Node 26:   1 0 0 0 0 0 0 0 0 1 1 1
 Node 27:   0 2 0 0 1 1 0 0 0 0 0 0
 Node 28:   1 1 0 0 0 0 0 0 0 0 1 0
 Node 29:   0 1 2 0 0 2 0 0 0 0 1 0
 Node 30:   0 2 0 0 0 0 0 0 0 2 1 1
 Node 31:   0 2 0 0 1 0 0 0 0 0 0 0
 Node 32:   0 1 1 0 1 0 0 0 0 1 0 1
 Node 33:   0 2 0 0 1 0 0 0 0 0 0 1
 Node 34:   0 1 1 0 1 0 0 0 0 0 0 0
 Node 35:   0 1 2 0 0 0 0 0 0 1 1 0
 Node 36:   1 1 1 0 0 0 0 0 0 0 1 0
 Node 37:   0 1 1 0 0 1 0 0 0 0 1 0
 Node 38:   1 1 0 0 0 0 0 0 0 0 1 0
 Node 39:   1 1 0 0 1 1 0 0 0 1 0 0
 Node 40:   0 1 2 0 1 1 0 0 0 0 0 2
 Node 41:   0 2 0 0 1 0 0 0 0 2 0 0
 Node 42:   0 1 0 0 1 0 0 0 0 0 0 1
 Node 43:   0 1 0 0 1 1 0 0 0 0 0 0
 Node 44:   0 1 0 0 0 0 0 0 0 1 1 0
 Node 45:   1 0 0 0 1 0 0 0 0 0 0 0
 Node 46:   0 0 2 0 1 1 0 0 0 0 0 1
 Node 47:   1 0 0 0 1 0 0 0 0 0 0 0
 Node 48:   1 0 0 0 0 0 0 0 0 0 1 3
 Node 49:   0 1 0 0 1 1 0 0 0 0 0 0
 Node 50:   1 0 1 0 0 0 0 0 0 0 1 1
 Node 51:   0 1 0 0 1 1 0 0 0 2 0 0
 Node 52:   1 0 0 0 0 0 0 0 0 0 1 1
 Node 53:   0 1 0 0 1 1 0 0 0 0 0 0
 Node 54:   0 0 1 0 1 0 0 0 0 0 0 0
 Node 55:   1 0 1 0 1 2 0 0 0 0 0 0
 Node 56:   1 0 0 0 0 0 0 0 0 0 1 1
 Node 57:   1 0 0 0 1 1 0 0 0 0 0 0
 Node 58:   1 0 0 0 0 0 0 0 0 0 1 1
 Node 59:   1 0 1 0 1 1 0 0 0 0 0 0
 Node 60:   1 0 0 0 0 0 0 0 0 0 1 1
 Node 61:   0 0 1 0 0 3 1 0 0 0 1 1
