ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 9
 path_based renewable label = 9


 (east, west, south, north, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), from host(vch2)0,.. to host(vch2)0,..
 Node  0:   3 0 6 0 0 0 0 1 0 3 1 1
 Node  1:   3 8 1 0 1 1 0 0 0 0 0 0
 Node  2:   2 7 0 0 1 1 0 0 0 2 0 0
 Node  3:   2 6 0 0 1 1 0 0 0 0 0 0
 Node  4:   1 5 1 0 1 1 0 0 0 2 0 0
 Node  5:   1 4 0 0 1 1 0 0 0 0 0 0
 Node  6:   0 3 1 0 1 1 0 0 0 1 0 0
 Node  7:   0 2 4 0 1 1 0 0 0 1 0 0
 Node  8:   0 1 1 0 1 1 0 0 0 5 0 0
 Node  9:   0 0 1 0 1 1 1 0 0 1 0 0
 Node 10:   0 1 0 0 1 1 1 0 0 1 0 0
 Node 11:   0 1 1 0 1 1 2 0 0 1 0 0
 Node 12:   0 1 1 0 1 1 2 0 0 1 0 0
 Node 13:   0 1 2 0 1 1 3 0 0 0 0 0
 Node 14:   0 1 0 0 1 1 3 0 0 1 0 0
 Node 15:   0 1 3 0 1 1 4 0 0 0 0 0
 Node 16:   1 0 5 0 1 1 0 0 0 0 0 0
 Node 17:   2 0 1 1 1 1 0 0 0 0 0 0
 Node 18:   3 0 0 1 1 1 0 0 0 1 0 0
 Node 19:   4 0 0 0 1 1 0 0 0 0 0 0
 Node 20:   5 0 1 1 1 1 0 0 0 3 0 0
 Node 21:   6 0 0 0 1 1 0 0 0 0 0 0
 Node 22:   7 0 1 1 1 1 0 0 0 0 0 0
 Node 23:   8 0 3 0 1 1 0 0 0 1 0 0
 Node 24:   0 1 9 1 0 0 0 0 0 6 1 1
 Node 25:   0 7 1 0 1 1 0 0 0 0 0 0
 Node 26:   0 6 0 1 1 1 0 0 0 0 0 0
 Node 27:   0 5 0 0 1 1 0 0 0 1 0 0
 Node 28:   0 4 1 1 1 1 0 0 0 2 0 0
 Node 29:   0 3 2 0 1 1 0 0 0 0 0 0
 Node 30:   0 2 0 1 1 1 0 0 0 0 0 0
 Node 31:   0 1 2 0 1 1 0 0 0 0 0 0
 Node 32:   2 0 5 0 1 1 0 0 0 0 0 0
 Node 33:   3 0 1 2 1 1 0 0 0 0 0 0
 Node 34:   3 0 0 2 1 1 0 0 0 1 0 0
 Node 35:   4 0 0 0 1 1 0 0 0 0 0 0
 Node 36:   1 0 8 2 0 0 0 0 0 4 1 1
 Node 37:   1 8 0 0 1 1 0 0 0 0 0 0
 Node 38:   1 7 1 2 1 1 0 0 0 0 0 0
 Node 39:   1 6 2 0 1 1 0 0 0 0 0 0
 Node 40:   1 5 8 0 1 1 0 0 0 0 0 0
 Node 41:   1 4 1 1 1 1 0 0 0 0 0 0
 Node 42:   1 3 0 2 1 1 0 0 0 0 0 0
 Node 43:   0 2 0 0 1 1 0 0 0 1 0 0
 Node 44:   0 1 1 2 1 1 0 0 0 3 0 0
 Node 45:   0 0 0 0 1 1 1 0 0 0 0 0
 Node 46:   0 0 0 2 1 1 1 0 0 1 0 0
 Node 47:   0 0 2 0 1 1 2 0 0 0 0 0
 Node 48:   0 0 5 0 1 1 0 2 0 0 0 0
