ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 33
 path_based renewable label = 33


 (east, west, south, north, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), from host(vch2)0,.. to host(vch2)0,..
 Node  0:   15 0 18 0 0 0 0 1 0 15 1 1
 Node  1:   15 32 7 0 1 1 0 0 0 0 0 0
 Node  2:   14 31 0 0 1 1 0 0 0 8 0 0
 Node  3:   14 30 0 0 1 1 0 0 0 0 0 0
 Node  4:   13 29 1 0 1 1 0 0 0 8 0 0
 Node  5:   13 28 6 0 1 1 0 0 0 0 0 0
 Node  6:   12 27 1 0 1 1 0 0 0 7 0 0
 Node  7:   12 26 10 0 1 1 0 0 0 0 0 0
 Node  8:   11 25 1 0 1 1 0 0 0 14 0 0
 Node  9:   11 24 5 0 1 1 0 0 0 1 0 0
 Node 10:   10 23 0 0 1 1 0 0 0 6 0 0
 Node 11:   10 22 6 0 1 1 0 0 0 0 0 0
 Node 12:   9 21 1 0 1 1 0 0 0 4 0 0
 Node 13:   9 20 4 0 1 1 0 0 0 0 0 0
 Node 14:   8 19 1 0 1 1 0 0 0 5 0 0
 Node 15:   8 18 18 0 1 1 0 0 0 0 0 0
 Node 16:   7 17 2 0 1 1 0 0 0 20 0 0
 Node 17:   7 16 3 0 1 1 0 0 0 0 0 0
 Node 18:   6 15 1 0 1 1 0 0 0 4 0 0
 Node 19:   6 14 4 0 1 1 0 0 0 0 0 0
 Node 20:   5 13 1 0 1 1 0 0 0 8 0 0
 Node 21:   5 12 2 0 1 1 0 0 0 0 0 0
 Node 22:   4 11 0 0 1 1 0 0 0 3 0 0
 Node 23:   4 10 18 0 1 1 0 0 0 1 0 0
 Node 24:   3 9 2 0 1 1 0 0 0 16 0 0
 Node 25:   3 8 1 0 1 1 0 0 0 0 0 0
 Node 26:   2 7 0 0 1 1 0 0 0 2 0 0
 Node 27:   2 6 12 0 1 1 0 0 0 1 0 0
 Node 28:   1 5 1 0 1 1 0 0 0 2 0 0
 Node 29:   1 4 0 0 1 1 0 0 0 0 0 0
 Node 30:   0 3 1 0 1 1 0 0 0 1 0 0
 Node 31:   0 2 28 0 1 1 0 0 0 1 0 0
 Node 32:   0 1 1 0 1 1 0 0 0 29 0 0
 Node 33:   0 0 1 0 1 1 1 0 0 1 0 0
 Node 34:   0 1 0 0 1 1 1 0 0 1 0 0
 Node 35:   0 1 1 0 1 1 2 0 0 0 0 0
 Node 36:   0 1 2 0 1 1 2 0 0 13 0 0
 Node 37:   0 1 2 0 1 1 3 0 0 0 0 0
 Node 38:   0 1 0 0 1 1 3 0 0 1 0 0
 Node 39:   0 1 15 0 1 1 4 0 0 1 0 0
 Node 40:   0 1 2 0 1 1 4 0 0 19 0 0
 Node 41:   0 1 3 0 1 1 5 0 0 0 0 0
 Node 42:   0 1 0 0 1 1 5 0 0 2 0 0
 Node 43:   0 1 7 0 1 1 6 0 0 1 0 0
 Node 44:   0 1 1 0 1 1 6 0 0 5 0 0
 Node 45:   0 1 4 0 1 1 7 0 0 1 0 0
 Node 46:   0 1 0 0 1 1 7 0 0 3 0 0
 Node 47:   0 1 19 0 1 1 8 0 0 1 0 0
 Node 48:   0 1 1 0 1 1 8 0 0 19 0 0
 Node 49:   0 1 5 0 1 1 9 0 0 1 0 0
 Node 50:   0 1 0 0 1 1 9 0 0 4 0 0
 Node 51:   0 1 3 0 1 1 10 0 0 0 0 0
 Node 52:   0 1 1 0 1 1 10 0 0 7 0 0
 Node 53:   0 1 6 0 1 1 11 0 0 0 0 0
 Node 54:   0 1 1 0 1 1 11 0 0 5 0 0
 Node 55:   0 1 13 0 1 1 12 0 0 0 0 0
 Node 56:   0 1 1 0 1 1 12 0 0 11 0 0
 Node 57:   0 1 7 0 1 1 13 0 0 1 0 0
 Node 58:   0 1 0 0 1 1 13 0 0 6 0 0
 Node 59:   0 1 7 0 1 1 14 0 0 0 0 0
 Node 60:   0 1 1 0 1 1 14 0 0 1 0 0
 Node 61:   0 1 8 0 1 1 15 0 0 0 0 0
 Node 62:   0 1 0 0 1 1 15 0 0 7 0 0
 Node 63:   0 1 15 0 1 1 16 0 0 0 0 0
 Node 64:   1 0 17 0 1 1 0 0 0 0 0 0
