ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 8
 path_based renewable label = 8


 (east, west, south, north, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), from host(vch2)0,.. to host(vch2)0,..
 Node  0:   0 0 1 0 0 0 0 1 0 0 1 1
 Node  1:   1 1 0 0 1 1 0 0 0 0 0 0
 Node  2:   1 1 1 0 1 0 0 0 0 0 0 1
 Node  3:   2 2 0 0 1 0 0 0 0 0 0 1
 Node  4:   2 2 1 0 1 1 0 0 0 0 0 0
 Node  5:   3 3 0 0 1 1 0 0 0 0 0 0
 Node  6:   3 3 2 0 1 0 0 0 0 0 0 1
 Node  7:   4 4 0 0 1 0 0 0 0 0 0 1
 Node  8:   3 4 1 0 1 1 0 0 0 0 0 0
 Node  9:   3 4 0 0 1 1 0 0 0 1 0 0
 Node 10:   2 4 1 0 1 0 0 0 0 0 0 1
 Node 11:   2 4 0 0 1 0 0 0 0 0 0 1
 Node 12:   1 3 1 0 1 1 0 0 0 0 0 0
 Node 13:   1 3 0 0 1 1 0 0 0 0 0 0
 Node 14:   0 2 1 0 1 0 0 0 0 0 0 1
 Node 15:   0 2 0 0 1 0 0 0 0 0 0 1
 Node 16:   0 0 2 0 1 1 0 0 0 0 0 0
 Node 17:   1 1 0 1 1 1 0 0 0 0 0 0
 Node 18:   1 1 2 0 1 0 0 0 0 0 0 1
 Node 19:   2 2 0 1 1 0 0 0 0 0 0 1
 Node 20:   2 2 2 0 1 1 0 0 0 0 0 0
 Node 21:   3 3 0 1 1 1 0 0 0 0 0 0
 Node 22:   3 3 3 0 1 0 0 0 0 0 0 1
 Node 23:   4 4 0 1 1 0 0 0 0 0 0 1
 Node 24:   3 4 2 0 1 1 0 0 0 0 0 0
 Node 25:   3 4 0 1 1 1 0 0 0 0 0 0
 Node 26:   2 3 2 0 1 0 0 0 0 0 0 1
 Node 27:   2 3 0 1 1 0 0 0 0 0 0 1
 Node 28:   1 2 2 0 1 1 0 0 0 0 0 0
 Node 29:   1 2 0 1 1 1 0 0 0 0 0 0
 Node 30:   0 1 2 0 1 0 0 0 0 0 0 1
