ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 17
 path_based renewable label = 17


 (east, west, south, north, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), from host(vch2)0,.. to host(vch2)0,..
 Node  0:   4 0 3 0 1 2 0 3 0 5 0 1
 Node  1:   3 0 6 0 1 0 0 5 0 3 0 0
 Node  2:   3 1 6 0 0 0 0 4 0 6 1 0
 Node  3:   4 1 7 0 0 0 0 3 0 1 1 2
 Node  4:   5 1 8 0 1 0 0 4 0 4 0 3
 Node  5:   5 1 9 0 1 0 0 4 0 1 0 0
 Node  6:   5 2 4 0 1 0 0 3 0 3 0 0
 Node  7:   5 2 3 0 0 2 0 2 0 4 1 0
 Node  8:   6 2 3 0 0 0 0 2 0 4 1 0
 Node  9:   7 2 9 0 0 0 0 2 0 3 1 0
 Node 10:   7 2 2 0 0 2 0 2 0 5 1 1
 Node 11:   8 2 5 0 0 0 0 2 0 5 1 0
 Node 12:   8 2 3 0 1 0 0 2 0 3 0 1
 Node 13:   8 3 2 0 0 1 0 2 0 3 1 0
 Node 14:   9 4 3 0 0 1 0 1 0 2 1 1
 Node 15:   9 4 3 0 1 1 0 1 0 2 0 1
 Node 16:   9 4 5 0 1 0 0 0 0 1 0 0
 Node 17:   10 3 2 0 1 0 0 0 0 7 0 0
 Node 18:   11 4 5 0 1 1 0 0 0 3 0 0
 Node 19:   12 4 5 0 1 2 0 0 0 1 0 1
 Node 20:   12 4 3 0 0 0 0 0 0 2 1 1
 Node 21:   13 4 6 0 0 0 0 0 0 4 1 0
 Node 22:   13 6 5 0 1 0 0 0 0 1 0 0
 Node 23:   13 7 1 0 0 1 0 0 0 7 1 0
 Node 24:   13 7 4 0 1 1 0 0 0 3 0 1
 Node 25:   12 7 6 0 0 0 0 0 0 4 1 0
 Node 26:   11 9 6 0 1 1 0 0 0 4 0 0
 Node 27:   10 9 4 0 0 0 0 0 0 5 1 0
 Node 28:   11 9 3 0 1 1 0 0 0 3 0 1
 Node 29:   12 10 6 0 1 0 0 0 0 2 0 0
 Node 30:   10 10 3 0 0 1 0 0 0 4 1 0
 Node 31:   9 9 4 0 0 0 0 0 0 3 1 0
 Node 32:   8 9 4 0 1 1 0 0 0 5 0 0
 Node 33:   5 9 5 0 0 0 0 0 0 7 1 2
 Node 34:   6 8 3 0 1 0 0 0 0 2 0 1
 Node 35:   7 8 5 0 0 3 0 0 0 3 1 1
 Node 36:   7 8 3 0 0 1 0 0 0 7 1 0
 Node 37:   7 8 2 0 0 0 0 0 0 3 1 0
 Node 38:   7 7 3 0 0 0 0 0 0 1 1 0
 Node 39:   7 6 6 0 0 0 0 0 0 2 1 1
 Node 40:   8 7 3 0 1 1 0 0 0 5 0 0
 Node 41:   8 9 1 0 0 1 1 0 0 3 1 1
 Node 42:   6 9 5 0 1 0 2 0 0 2 0 1
 Node 43:   6 9 5 0 1 0 1 0 0 9 0 1
 Node 44:   6 8 3 0 1 0 1 0 0 2 0 1
 Node 45:   7 7 1 0 1 1 1 0 0 4 0 0
 Node 46:   7 7 5 0 0 0 1 0 0 0 1 0
 Node 47:   7 7 7 0 0 1 1 0 0 4 1 0
 Node 48:   8 7 3 0 1 1 1 0 0 3 0 1
 Node 49:   8 7 8 0 1 0 1 0 0 4 0 0
 Node 50:   7 8 1 0 0 0 1 0 0 3 1 0
 Node 51:   7 8 5 0 1 0 0 0 0 6 0 0
 Node 52:   6 8 6 0 1 0 0 0 0 3 0 0
 Node 53:   5 9 0 0 1 0 0 0 0 5 0 1
 Node 54:   5 8 7 0 0 0 0 0 0 3 1 0
 Node 55:   5 7 5 0 0 0 1 0 0 6 1 2
 Node 56:   5 7 1 0 1 0 1 0 0 6 0 0
 Node 57:   4 6 3 0 1 0 2 0 0 1 0 0
 Node 58:   4 6 7 0 0 0 2 0 0 7 1 1
 Node 59:   4 5 3 0 1 0 2 0 0 3 0 1
 Node 60:   3 4 6 0 1 0 2 0 0 5 0 0
 Node 61:   3 4 4 0 0 1 2 0 0 2 1 0
 Node 62:   0 3 5 0 0 0 3 0 0 4 1 0
 Node 63:   0 3 4 0 0 2 3 0 0 3 1 1
 Node 64:   2 0 5 1 0 1 0 4 0 4 1 0
 Node 65:   2 1 6 0 1 0 0 3 0 2 0 0
 Node 66:   2 1 6 1 0 0 0 2 0 6 1 1
 Node 67:   3 1 6 0 0 0 0 2 0 1 1 0
 Node 68:   4 1 9 2 1 0 0 2 0 5 0 0
 Node 69:   5 2 9 0 1 1 0 3 0 1 0 1
 Node 70:   6 2 4 0 0 0 0 3 0 3 1 1
 Node 71:   6 3 3 1 1 0 0 3 0 3 0 0
 Node 72:   7 3 2 1 1 0 0 2 0 5 0 0
 Node 73:   7 3 8 0 1 0 0 2 0 3 0 1
 Node 74:   6 3 3 2 1 0 0 2 0 6 0 2
 Node 75:   6 4 6 0 1 1 0 2 0 5 0 2
 Node 76:   6 4 3 1 1 1 0 2 0 1 0 0
 Node 77:   7 4 2 0 0 1 0 1 0 2 1 2
 Node 78:   7 5 5 1 0 0 0 1 0 2 1 0
 Node 79:   7 5 3 0 1 1 0 2 0 2 0 0
 Node 80:   7 5 6 0 0 0 0 1 0 1 1 1
 Node 81:   8 5 3 1 0 0 0 1 0 7 1 0
 Node 82:   8 6 5 0 1 0 0 1 0 3 0 2
 Node 83:   9 7 5 1 1 0 0 0 0 2 0 0
 Node 84:   10 7 3 0 0 0 0 0 0 1 1 1
